today,okay
okay,originally
originally,la
la,thing
la,really
la,like
la,la
thing,uh
thing,smog,
thing,traffic
thing,tickets,
thing,high
thing,rent
really,uh
really,smog,
really,traffic
really,tickets,
really,high
really,rent
like,uh
like,smog,
like,traffic
like,tickets,
like,high
like,rent
la,uh
la,smog,
la,traffic
la,tickets,
la,high
la,rent
uh,thing
uh,really
uh,like
uh,la
smog,,thing
smog,,really
smog,,like
smog,,la
traffic,thing
traffic,really
traffic,like
traffic,la
tickets,,thing
tickets,,really
tickets,,like
tickets,,la
high,thing
high,really
high,like
high,la
rent,thing
rent,really
rent,like
rent,la
thing,uh
thing,everything
really,uh
really,everything
like,uh
like,everything
la,uh
la,everything
uh,like
everything,like
like,um
like,like
like,um,
like,cost
like,living,
like,smog
um,yeah
like,yeah
um,,yeah
cost,yeah
living,,yeah
smog,yeah
yeah,yeah
yeah,i'm
yeah,sure
yeah,tell
yeah,shoe
yeah,i'm
yeah,much
yeah,world
yeah,explorer
yeah,travel
yeah,lot
i'm,,
i'm,anymore
sure,,
sure,anymore
tell,,
tell,anymore
shoe,,
shoe,anymore
i'm,,
i'm,anymore
much,,
much,anymore
world,,
world,anymore
explorer,,
explorer,anymore
travel,,
travel,anymore
lot,,
lot,anymore
uh,enjoy
uh,traveling
time,enjoy
time,traveling
enjoy,um,
enjoy,meeting
enjoy,new
enjoy,people
enjoy,food,
enjoy,nature,
enjoy,explore
enjoy,different,
enjoy,area
traveling,um,
traveling,meeting
traveling,new
traveling,people
traveling,food,
traveling,nature,
traveling,explore
traveling,different,
traveling,area
um,,i'd
um,,love
um,,hear
um,,one
um,,trip
meeting,i'd
meeting,love
meeting,hear
meeting,one
meeting,trip
new,i'd
new,love
new,hear
new,one
new,trip
people,i'd
people,love
people,hear
people,one
people,trip
food,,i'd
food,,love
food,,hear
food,,one
food,,trip
nature,,i'd
nature,,love
nature,,hear
nature,,one
nature,,trip
explore,i'd
explore,love
explore,hear
explore,one
explore,trip
different,,i'd
different,,love
different,,hear
different,,one
different,,trip
area,i'd
area,love
area,hear
area,one
area,trip
i'd,um
i'd,i've
i'd,east
i'd,coast,
i'd,that's
love,um
love,i've
love,east
love,coast,
love,that's
hear,um
hear,i've
hear,east
hear,coast,
hear,that's
one,um
one,i've
one,east
one,coast,
one,that's
trip,um
trip,i've
trip,east
trip,coast,
trip,that's
um,what's
um,one
um,memorable
um,experience
i've,what's
i've,one
i've,memorable
i've,experience
east,what's
east,one
east,memorable
east,experience
coast,,what's
coast,,one
coast,,memorable
coast,,experience
that's,what's
that's,one
that's,memorable
that's,experience
what's,um
what's,going
what's,college,
what's,east
what's,coast
one,um
one,going
one,college,
one,east
one,coast
memorable,um
memorable,going
memorable,college,
memorable,east
memorable,coast
experience,um
experience,going
experience,college,
experience,east
experience,coast
um,tell
going,tell
college,,tell
east,tell
coast,tell
tell,um
tell,went
tell,two
tell,years,
tell,uh,
tell,mean
tell,one
tell,year
tell,like
tell,three
tell,year
tell,yeah,
tell,came
tell,back
tell,la
um,study
um,school
went,study
went,school
two,study
two,school
years,,study
years,,school
uh,,study
uh,,school
mean,study
mean,school
one,study
one,school
year,study
year,school
like,study
like,school
three,study
three,school
year,study
year,school
yeah,,study
yeah,,school
came,study
came,school
back,study
back,school
la,study
la,school
study,uh
study,business
school,uh
school,business
uh,decide
business,decide
decide,um,
decide,graduated
decide,high
decide,school
decide,um,
decide,knew
decide,something
decide,else,
decide,future
um,,happy
graduated,happy
high,happy
school,happy
um,,happy
knew,happy
something,happy
else,,happy
future,happy
happy,yeah
happy,yes
uh,what's
uh,dream
uh,job
sought,what's
sought,dream
sought,job
eh,what's
eh,dream
eh,job
experience,,what's
experience,,dream
experience,,job
got,what's
got,dream
got,job
travel,,what's
travel,,dream
travel,,job
what's,um,
what's,,
what's,uh
what's,uh
what's,personal
what's,trainer
what's,real
what's,estate
dream,um,
dream,,
dream,uh
dream,uh
dream,personal
dream,trainer
dream,real
dream,estate
job,um,
job,,
job,uh
job,uh
job,personal
job,trainer
job,real
job,estate
um,,made
um,,decide
,,made
,,decide
uh,made
uh,decide
uh,made
uh,decide
personal,made
personal,decide
trainer,made
trainer,decide
real,made
real,decide
estate,made
estate,decide
made,um
made,seems
made,like
made,um,
made,that's
made,i'm
made,capable
made,right
decide,um
decide,seems
decide,like
decide,um,
decide,that's
decide,i'm
decide,capable
decide,right
um,consider
um,shy
um,outgoing
seems,consider
seems,shy
seems,outgoing
like,consider
like,shy
like,outgoing
um,,consider
um,,shy
um,,outgoing
that's,consider
that's,shy
that's,outgoing
i'm,consider
i'm,shy
i'm,outgoing
capable,consider
capable,shy
capable,outgoing
right,consider
right,shy
right,outgoing
consider,depends
consider,i'm
shy,depends
shy,i'm
outgoing,depends
outgoing,i'm
depends,sometimes
depends,i'm
depends,feeling
depends,tense
depends,turn
depends,fish
depends,tank
depends,screensaver
depends,hey
depends,know
depends,hawaii
depends,best
depends,i've
depends,got
depends,relax
i'm,sometimes
i'm,i'm
i'm,feeling
i'm,tense
i'm,turn
i'm,fish
i'm,tank
i'm,screensaver
i'm,hey
i'm,know
i'm,hawaii
i'm,best
i'm,i've
i'm,got
i'm,relax
sometimes,eat
sometimes,work
i'm,eat
i'm,work
feeling,eat
feeling,work
tense,eat
tense,work
turn,eat
turn,work
fish,eat
fish,work
tank,eat
tank,work
screensaver,eat
screensaver,work
hey,eat
hey,work
know,eat
know,work
hawaii,eat
hawaii,work
best,eat
best,work
i've,eat
i've,work
got,eat
got,work
relax,eat
relax,work
eat,controlling
eat,temper
work,controlling
work,temper
controlling,um,
controlling,think
controlling,about,
controlling,negative
controlling,thing
controlling,could
controlling,happen
controlling,after,
controlling,know
controlling,control
controlling,temper
controlling,like
controlling,going
controlling,jail
controlling,or,
controlling,know
controlling,losing
controlling,everything
controlling,worked
temper,um,
temper,think
temper,about,
temper,negative
temper,thing
temper,could
temper,happen
temper,after,
temper,know
temper,control
temper,temper
temper,like
temper,going
temper,jail
temper,or,
temper,know
temper,losing
temper,everything
temper,worked
um,,last
um,,time
um,,argued
um,,someone
think,last
think,time
think,argued
think,someone
about,,last
about,,time
about,,argued
about,,someone
negative,last
negative,time
negative,argued
negative,someone
thing,last
thing,time
thing,argued
thing,someone
could,last
could,time
could,argued
could,someone
happen,last
happen,time
happen,argued
happen,someone
after,,last
after,,time
after,,argued
after,,someone
know,last
know,time
know,argued
know,someone
control,last
control,time
control,argued
control,someone
temper,last
temper,time
temper,argued
temper,someone
like,last
like,time
like,argued
like,someone
going,last
going,time
going,argued
going,someone
jail,last
jail,time
jail,argued
jail,someone
or,,last
or,,time
or,,argued
or,,someone
know,last
know,time
know,argued
know,someone
losing,last
losing,time
losing,argued
losing,someone
everything,last
everything,time
everything,argued
everything,someone
worked,last
worked,time
worked,argued
worked,someone
last,um
last,last
last,time
last,argued
last,somebody
last,um,
last,one
last,um,
last,close
last,friend
time,um
time,last
time,time
time,argued
time,somebody
time,um,
time,one
time,um,
time,close
time,friend
argued,um
argued,last
argued,time
argued,argued
argued,somebody
argued,um,
argued,one
argued,um,
argued,close
argued,friend
someone,um
someone,last
someone,time
someone,argued
someone,somebody
someone,um,
someone,one
someone,um,
someone,close
someone,friend
um,know
last,know
time,know
argued,know
somebody,know
um,,know
one,know
um,,know
close,know
friend,know
know,um
know,seen
know,couple
know,time
um,feel
um,moment
seen,feel
seen,moment
couple,feel
couple,moment
time,feel
time,moment
feel,upset
feel,*sigh*
moment,upset
moment,*sigh*
upset,mhm
*sigh*,mhm
mhm,upset
upset,tell
upset,situation
upset,wish
upset,handled
upset,differently
tell,,
tell,um,
tell,uh
tell,vehicle
tell,bought
tell,bought
tell,something,
tell,affordable
situation,,
situation,um,
situation,uh
situation,vehicle
situation,bought
situation,bought
situation,something,
situation,affordable
wish,,
wish,um,
wish,uh
wish,vehicle
wish,bought
wish,bought
wish,something,
wish,affordable
handled,,
handled,um,
handled,uh
handled,vehicle
handled,bought
handled,bought
handled,something,
handled,affordable
differently,,
differently,um,
differently,uh
differently,vehicle
differently,bought
differently,bought
differently,something,
differently,affordable
,,like
um,,like
uh,like
vehicle,like
bought,like
bought,like
something,,like
affordable,like
like,like
like,vehicle
like,car,
like,bought
like,um
like,like
like,um
like,something
like,affordable,
like,like
like,uh
like,maybe,
like,uh,
like,something
like,economic
like,tell
like,hardest
like,decision
like,ever
like,make
vehicle,tell
vehicle,hardest
vehicle,decision
vehicle,ever
vehicle,make
car,,tell
car,,hardest
car,,decision
car,,ever
car,,make
bought,tell
bought,hardest
bought,decision
bought,ever
bought,make
um,tell
um,hardest
um,decision
um,ever
um,make
like,tell
like,hardest
like,decision
like,ever
like,make
um,tell
um,hardest
um,decision
um,ever
um,make
something,tell
something,hardest
something,decision
something,ever
something,make
affordable,,tell
affordable,,hardest
affordable,,decision
affordable,,ever
affordable,,make
like,tell
like,hardest
like,decision
like,ever
like,make
uh,tell
uh,hardest
uh,decision
uh,ever
uh,make
maybe,,tell
maybe,,hardest
maybe,,decision
maybe,,ever
maybe,,make
uh,,tell
uh,,hardest
uh,,decision
uh,,ever
uh,,make
something,tell
something,hardest
something,decision
something,ever
something,make
economic,tell
economic,hardest
economic,decision
economic,ever
economic,make
tell,um
tell,moving
tell,los
tell,angeles,
tell,west
tell,los
tell,angeles,
hardest,um
hardest,moving
hardest,los
hardest,angeles,
hardest,west
hardest,los
hardest,angeles,
decision,um
decision,moving
decision,los
decision,angeles,
decision,west
decision,los
decision,angeles,
ever,um
ever,moving
ever,los
ever,angeles,
ever,west
ever,los
ever,angeles,
make,um
make,moving
make,los
make,angeles,
make,west
make,los
make,angeles,
um,decide
moving,decide
los,decide
angeles,,decide
west,decide
los,decide
angeles,,decide
decide,,
decide,basically
decide,found
decide,uncle
decide,moved
decide,him,
decide,um
decide,moved
,,like
,,living
,,situation
basically,like
basically,living
basically,situation
found,like
found,living
found,situation
uncle,like
uncle,living
uncle,situation
moved,like
moved,living
moved,situation
him,,like
him,,living
him,,situation
um,like
um,living
um,situation
moved,like
moved,living
moved,situation
like,good,
like,affordable
living,good,
living,affordable
situation,good,
situation,affordable
good,,tell
good,,relationship
good,,family
affordable,tell
affordable,relationship
affordable,family
tell,good
tell,right
relationship,good
relationship,right
family,good
family,right
good,close
good,family
right,close
right,family
close,really
close,close
family,really
family,close
really,tell
really,event
really,something
really,wish
really,could
really,erase
really,memory
close,tell
close,event
close,something
close,wish
close,could
close,erase
close,memory
tell,um,
tell,know
event,um,
event,know
something,um,
something,know
wish,um,
wish,know
could,um,
could,know
erase,um,
erase,know
memory,um,
memory,know
um,,what's
um,,something
um,,feel
um,,guilty
know,what's
know,something
know,feel
know,guilty
what's,um,
what's,*sigh*,
what's,um,
what's,financially
what's,stable
something,um,
something,*sigh*,
something,um,
something,financially
something,stable
feel,um,
feel,*sigh*,
feel,um,
feel,financially
feel,stable
guilty,um,
guilty,*sigh*,
guilty,um,
guilty,financially
guilty,stable
um,,tell
*sigh*,,tell
um,,tell
financially,tell
stable,tell
tell,well
tell,ever
tell,since
tell,moved
tell,la
tell,um,
tell,try
tell,fit
tell,job,
tell,something
tell,happens
tell,business
tell,either
tell,lay
tell,people
tell,sell
tell,business
tell,or,
tell,um,
tell,know,
tell,pay
tell,cut
tell,pay
tell,so,
tell,tough
well,sound
well,really
well,hard
ever,sound
ever,really
ever,hard
since,sound
since,really
since,hard
moved,sound
moved,really
moved,hard
la,sound
la,really
la,hard
um,,sound
um,,really
um,,hard
try,sound
try,really
try,hard
fit,sound
fit,really
fit,hard
job,,sound
job,,really
job,,hard
something,sound
something,really
something,hard
happens,sound
happens,really
happens,hard
business,sound
