today,good
good,originally
originally,los
originally,angeles
los,really
angeles,really
really,yes
yes,thing
yes,really
yes,like
yes,la
thing,um,
thing,uh
thing,center
thing,everything
thing,eh
thing,get
thing,place
thing,need
thing,go
thing,uh
thing,eh
thing,without
thing,drive
thing,far,
thing,um
thing,like
thing,city
really,um,
really,uh
really,center
really,everything
really,eh
really,get
really,place
really,need
really,go
really,uh
really,eh
really,without
really,drive
really,far,
really,um
really,like
really,city
like,um,
like,uh
like,center
like,everything
like,eh
like,get
like,place
like,need
like,go
like,uh
like,eh
like,without
like,drive
like,far,
like,um
like,like
like,city
la,um,
la,uh
la,center
la,everything
la,eh
la,get
la,place
la,need
la,go
la,uh
la,eh
la,without
la,drive
la,far,
la,um
la,like
la,city
um,,thing
um,,really
um,,like
um,,la
uh,thing
uh,really
uh,like
uh,la
center,thing
center,really
center,like
center,la
everything,thing
everything,really
everything,like
everything,la
eh,thing
eh,really
eh,like
eh,la
get,thing
get,really
get,like
get,la
place,thing
place,really
place,like
place,la
need,thing
need,really
need,like
need,la
go,thing
go,really
go,like
go,la
uh,thing
uh,really
uh,like
uh,la
eh,thing
eh,really
eh,like
eh,la
without,thing
without,really
without,like
without,la
drive,thing
drive,really
drive,like
drive,la
far,,thing
far,,really
far,,like
far,,la
um,thing
um,really
um,like
um,la
like,thing
like,really
like,like
like,la
city,thing
city,really
city,like
city,la
thing,well,
thing,la
thing,also
thing,dealing
thing,traffic
thing,lot
thing,congestion,
thing,um
thing,obviously
thing,uh
thing,environment
thing,far
thing,uh
thing,air
thing,quality
thing,great,
really,well,
really,la
really,also
really,dealing
really,traffic
really,lot
really,congestion,
really,um
really,obviously
really,uh
really,environment
really,far
really,uh
really,air
really,quality
really,great,
like,well,
like,la
like,also
like,dealing
like,traffic
like,lot
like,congestion,
like,um
like,obviously
like,uh
like,environment
like,far
like,uh
like,air
like,quality
like,great,
la,well,
la,la
la,also
la,dealing
la,traffic
la,lot
la,congestion,
la,um
la,obviously
la,uh
la,environment
la,far
la,uh
la,air
la,quality
la,great,
well,,yeah
la,yeah
also,yeah
dealing,yeah
traffic,yeah
lot,yeah
congestion,,yeah
um,yeah
obviously,yeah
uh,yeah
environment,yeah
far,yeah
uh,yeah
air,yeah
quality,yeah
great,,yeah
yeah,know
yeah,live
know,study
know,school
live,study
live,school
study,um
study,business
study,administration
study,major
study,studied
study,business
study,um,
study,finished
study,college
study,um,
study,uh
study,pursued
study,career
study,retail
study,operation
school,um
school,business
school,administration
school,major
school,studied
school,business
school,um,
school,finished
school,college
school,um,
school,uh
school,pursued
school,career
school,retail
school,operation
um,still
business,still
administration,still
major,still
studied,still
business,still
um,,still
finished,still
college,still
um,,still
uh,still
pursued,still
career,still
retail,still
operation,still
still,uh
still,matter
still,fact
still,kinda
still,changed
still,career,
still,uh
still,last
still,four
still,five
still,year
still,i'm
still,concentrating
still,human
still,resource
still,side
still,business
uh,made
uh,decide
matter,made
matter,decide
fact,made
fact,decide
kinda,made
kinda,decide
changed,made
changed,decide
career,,made
career,,decide
uh,made
uh,decide
last,made
last,decide
four,made
four,decide
five,made
five,decide
year,made
year,decide
i'm,made
i'm,decide
concentrating,made
concentrating,decide
human,made
human,decide
resource,made
resource,decide
side,made
side,decide
business,made
business,decide
made,um
made,couple
made,factor
made,um
made,working
made,numerous
made,year
made,retail
made,business,
made,um
made,switched
made,worked
made,uh
made,creative
made,business
made,graphic
made,design
made,firm
made,uh
made,captured
made,knowledge
made,lot
made,knowledge
made,um,
made,human
made,resource
made,side
made,operation
made,manager
made,slash
made,benefit
made,manager
made,small
made,company
decide,um
decide,couple
decide,factor
decide,um
decide,working
decide,numerous
decide,year
decide,retail
decide,business,
decide,um
decide,switched
decide,worked
decide,uh
decide,creative
decide,business
decide,graphic
decide,design
decide,firm
decide,uh
decide,captured
decide,knowledge
decide,lot
decide,knowledge
decide,um,
decide,human
decide,resource
decide,side
decide,operation
decide,manager
decide,slash
decide,benefit
decide,manager
decide,small
decide,company
um,happy
couple,happy
factor,happy
um,happy
working,happy
numerous,happy
year,happy
retail,happy
business,,happy
um,happy
switched,happy
worked,happy
uh,happy
creative,happy
business,happy
graphic,happy
design,happy
firm,happy
uh,happy
captured,happy
knowledge,happy
lot,happy
knowledge,happy
um,,happy
human,happy
resource,happy
side,happy
operation,happy
manager,happy
slash,happy
benefit,happy
manager,happy
small,happy
company,happy
happy,yes
happy,i'm
happy,happy
happy,um
happy,picked
happy,lot
happy,knowledge
happy,uh,
happy,helpful
yes,love
yes,job
yes,could
yes,almost
yes,say
yes,virtually
yes,made
yes,what's
yes,dream
yes,job
i'm,love
i'm,job
i'm,could
i'm,almost
i'm,say
i'm,virtually
i'm,made
i'm,what's
i'm,dream
i'm,job
happy,love
happy,job
happy,could
happy,almost
happy,say
happy,virtually
happy,made
happy,what's
happy,dream
happy,job
um,love
um,job
um,could
um,almost
um,say
um,virtually
um,made
um,what's
um,dream
um,job
picked,love
picked,job
picked,could
picked,almost
picked,say
picked,virtually
picked,made
picked,what's
picked,dream
picked,job
lot,love
lot,job
lot,could
lot,almost
lot,say
lot,virtually
lot,made
lot,what's
lot,dream
lot,job
knowledge,love
knowledge,job
knowledge,could
knowledge,almost
knowledge,say
knowledge,virtually
knowledge,made
knowledge,what's
knowledge,dream
knowledge,job
uh,,love
uh,,job
uh,,could
uh,,almost
uh,,say
uh,,virtually
uh,,made
uh,,what's
uh,,dream
uh,,job
helpful,love
helpful,job
helpful,could
helpful,almost
helpful,say
helpful,virtually
helpful,made
helpful,what's
helpful,dream
helpful,job
love,*laughter*,
love,well
love,dream
love,job
love,um,
love,i'm
love,basically
love,kinda
love,wanna
love,uh,
love,independent
love,contractor
love,freelance
love,work
love,hr
love,consultant
love,using
love,knowledge
love,uh
love,gained
love,previous
love,jobs,
love,um
love,utilize
love,flexibility
love,thing
love,wanna
love,far
love,personally
love,time
love,need
love,thing
love,wanna
love,do,
love,um
love,obviously
love,worked
love,hard
love,early
love,part
love,career
love,financial
love,aspect
love,uh
love,retirement
love,already
love,set
love,place
love,so,
love,need
love,far
love,um
love,maintaining
love,certain
love,lifestyle
love,also
love,also
love,enjoy
love,i'm
love,much
love,stress
love,used
job,*laughter*,
job,well
job,dream
job,job
job,um,
job,i'm
job,basically
job,kinda
job,wanna
job,uh,
job,independent
job,contractor
job,freelance
job,work
job,hr
job,consultant
job,using
job,knowledge
job,uh
job,gained
job,previous
job,jobs,
job,um
job,utilize
job,flexibility
job,thing
job,wanna
job,far
job,personally
job,time
job,need
job,thing
job,wanna
job,do,
job,um
job,obviously
job,worked
job,hard
job,early
job,part
job,career
job,financial
job,aspect
job,uh
job,retirement
job,already
job,set
job,place
job,so,
job,need
job,far
job,um
job,maintaining
job,certain
job,lifestyle
job,also
job,also
job,enjoy
job,i'm
job,much
job,stress
job,used
could,*laughter*,
could,well
could,dream
could,job
could,um,
could,i'm
could,basically
could,kinda
could,wanna
could,uh,
could,independent
could,contractor
could,freelance
could,work
could,hr
could,consultant
could,using
could,knowledge
could,uh
could,gained
could,previous
could,jobs,
could,um
could,utilize
could,flexibility
could,thing
could,wanna
could,far
could,personally
could,time
could,need
could,thing
could,wanna
could,do,
could,um
could,obviously
could,worked
could,hard
could,early
could,part
could,career
could,financial
could,aspect
could,uh
could,retirement
could,already
could,set
could,place
could,so,
could,need
could,far
could,um
could,maintaining
could,certain
could,lifestyle
could,also
could,also
could,enjoy
could,i'm
could,much
could,stress
could,used
almost,*laughter*,
almost,well
almost,dream
almost,job
almost,um,
almost,i'm
almost,basically
almost,kinda
almost,wanna
almost,uh,
almost,independent
almost,contractor
almost,freelance
almost,work
almost,hr
almost,consultant
almost,using
almost,knowledge
almost,uh
almost,gained
almost,previous
almost,jobs,
almost,um
almost,utilize
almost,flexibility
almost,thing
almost,wanna
almost,far
almost,personally
almost,time
almost,need
almost,thing
almost,wanna
almost,do,
almost,um
almost,obviously
almost,worked
almost,hard
almost,early
almost,part
