today,okay
okay,originally
originally,atlanta
originally,georgia
atlanta,move
atlanta,la
georgia,move
georgia,la
move,um
move,two
move,thousand
move,six
la,um
la,two
la,thousand
la,six
um,often
um,go
um,back
um,hometown
two,often
two,go
two,back
two,hometown
thousand,often
thousand,go
thousand,back
thousand,hometown
six,often
six,go
six,back
six,hometown
often,never
go,never
back,never
hometown,never
uh,compare
uh,la
like,compare
like,la
*laughter*,compare
*laughter*,la
compare,oh
compare,completely
compare,boring
compare,there's
compare,little
compare,do,
compare,la
compare,preferable
compare,think
compare,place
la,oh
la,completely
la,boring
la,there's
la,little
la,do,
la,la
la,preferable
la,think
la,place
oh,move
oh,la
completely,move
completely,la
boring,move
boring,la
there's,move
there's,la
little,move
little,la
do,,move
do,,la
la,move
la,la
preferable,move
preferable,la
think,move
think,la
place,move
place,la
move,uh
move,uh
move,engaged
move,fiancee
move,lived
move,florida
move,moved
move,and,
move,um
move,love
move,water,
move,love
move,mountain
move,missed
move,hiking
move,uh
move,love
move,florida,
move,tied
move,decided
move,wanted
move,go
move,somewhere
move,could
move,happy,
move,also
move,um
move,opportunity
move,business
move,and,
move,great
move,thing
move,offer
la,uh
la,uh
la,engaged
la,fiancee
la,lived
la,florida
la,moved
la,and,
la,um
la,love
la,water,
la,love
la,mountain
la,missed
la,hiking
la,uh
la,love
la,florida,
la,tied
la,decided
la,wanted
la,go
la,somewhere
la,could
la,happy,
la,also
la,um
la,opportunity
la,business
la,and,
la,great
la,thing
la,offer
uh,easy
uh,get
uh,used
uh,living
uh,la
uh,easy
uh,get
uh,used
uh,living
uh,la
engaged,easy
engaged,get
engaged,used
engaged,living
engaged,la
fiancee,easy
fiancee,get
fiancee,used
fiancee,living
fiancee,la
lived,easy
lived,get
lived,used
lived,living
lived,la
florida,easy
florida,get
florida,used
florida,living
florida,la
moved,easy
moved,get
moved,used
moved,living
moved,la
and,,easy
and,,get
and,,used
and,,living
and,,la
um,easy
um,get
um,used
um,living
um,la
love,easy
love,get
love,used
love,living
love,la
water,,easy
water,,get
water,,used
water,,living
water,,la
love,easy
love,get
love,used
love,living
love,la
mountain,easy
mountain,get
mountain,used
mountain,living
mountain,la
missed,easy
missed,get
missed,used
missed,living
missed,la
hiking,easy
hiking,get
hiking,used
hiking,living
hiking,la
uh,easy
uh,get
uh,used
uh,living
uh,la
love,easy
love,get
love,used
love,living
love,la
florida,,easy
florida,,get
florida,,used
florida,,living
florida,,la
tied,easy
tied,get
tied,used
tied,living
tied,la
