today,alright
alright,originally
originally,uh
originally,originally
originally,originally
originally,i'm
originally,uh
originally,korea
uh,really
originally,really
originally,really
i'm,really
uh,really
korea,really
really,mhm
mhm,move
mhm,la
move,uh
move,year
move,old
la,uh
la,year
la,old
uh,young
year,young
old,young
young,yes
yes,often
yes,go
yes,back
yes,hometown
often,uh
often,almost
often,never
often,i've
often,i've
often,korea
go,uh
go,almost
go,never
go,i've
go,i've
go,korea
back,uh
back,almost
back,never
back,i've
back,i've
back,korea
hometown,uh
hometown,almost
hometown,never
hometown,i've
hometown,i've
hometown,korea
uh,thing
uh,really
uh,like
uh,la
almost,thing
almost,really
almost,like
almost,la
never,thing
never,really
never,like
never,la
i've,thing
i've,really
i've,like
i've,la
i've,thing
i've,really
i've,like
i've,la
korea,thing
korea,really
korea,like
korea,la
thing,uh
thing,love
thing,weather
thing,*sigh*
thing,ocean
thing,culture
thing,lotta
thing,thing
thing,food
thing,there's
thing,lot
thing,like
really,uh
really,love
really,weather
really,*sigh*
really,ocean
really,culture
really,lotta
really,thing
really,food
really,there's
really,lot
really,like
like,uh
like,love
like,weather
like,*sigh*
like,ocean
like,culture
like,lotta
like,thing
like,food
like,there's
like,lot
like,like
la,uh
la,love
la,weather
la,*sigh*
la,ocean
la,culture
la,lotta
la,thing
la,food
la,there's
la,lot
la,like
uh,thing
uh,really
uh,like
uh,la
love,thing
love,really
love,like
love,la
weather,thing
weather,really
weather,like
weather,la
*sigh*,thing
*sigh*,really
*sigh*,like
*sigh*,la
ocean,thing
ocean,really
ocean,like
ocean,la
culture,thing
culture,really
culture,like
culture,la
lotta,thing
lotta,really
lotta,like
lotta,la
thing,thing
thing,really
thing,like
thing,la
food,thing
food,really
food,like
food,la
there's,thing
there's,really
there's,like
there's,la
lot,thing
lot,really
lot,like
lot,la
like,thing
like,really
like,like
like,la
thing,um,
thing,traffic
thing,um,
thing,seems
thing,like,
thing,we're
thing,lot
thing,uh
thing,economic
thing,difficulty
thing,the,
thing,parking
thing,ticket
thing,super
thing,high
thing,sometimes
thing,i'm
thing,really,
thing,annoyed
thing,government
thing,*laughter*
really,um,
really,traffic
really,um,
really,seems
really,like,
really,we're
really,lot
really,uh
really,economic
really,difficulty
really,the,
really,parking
really,ticket
really,super
really,high
really,sometimes
really,i'm
really,really,
really,annoyed
really,government
really,*laughter*
like,um,
like,traffic
like,um,
like,seems
like,like,
like,we're
like,lot
like,uh
like,economic
like,difficulty
like,the,
like,parking
like,ticket
like,super
like,high
like,sometimes
like,i'm
like,really,
like,annoyed
like,government
like,*laughter*
la,um,
la,traffic
la,um,
la,seems
la,like,
la,we're
la,lot
la,uh
la,economic
la,difficulty
la,the,
la,parking
la,ticket
la,super
la,high
la,sometimes
la,i'm
la,really,
la,annoyed
la,government
la,*laughter*
um,,i'm
um,,sure
um,,tell
um,,shoe
um,,i'm
um,,much
um,,world
um,,explorer
um,,travel
um,,lot
traffic,i'm
traffic,sure
traffic,tell
traffic,shoe
traffic,i'm
traffic,much
traffic,world
traffic,explorer
traffic,travel
traffic,lot
um,,i'm
um,,sure
um,,tell
um,,shoe
um,,i'm
um,,much
um,,world
um,,explorer
um,,travel
um,,lot
seems,i'm
seems,sure
seems,tell
seems,shoe
seems,i'm
seems,much
seems,world
seems,explorer
seems,travel
seems,lot
like,,i'm
like,,sure
like,,tell
like,,shoe
like,,i'm
like,,much
like,,world
like,,explorer
like,,travel
like,,lot
we're,i'm
we're,sure
we're,tell
we're,shoe
we're,i'm
we're,much
we're,world
we're,explorer
we're,travel
we're,lot
lot,i'm
lot,sure
lot,tell
lot,shoe
lot,i'm
lot,much
lot,world
lot,explorer
lot,travel
lot,lot
uh,i'm
uh,sure
uh,tell
uh,shoe
uh,i'm
uh,much
uh,world
