today,okay
okay,originally
originally,originally
originally,texas
originally,move
originally,la
texas,move
texas,la
move,oh
move,week
move,ago
la,oh
la,week
la,ago
oh,compare
oh,la
week,compare
week,la
ago,compare
ago,la
compare,uh
compare,well
compare,i've
compare,living
compare,um,
compare,palm
compare,spring
compare,actually
compare,uh
compare,la
compare,there's
compare,lot
compare,uh
compare,weather's
compare,lot
compare,better
la,uh
la,well
la,i've
la,living
la,um,
la,palm
la,spring
la,actually
la,uh
la,la
la,there's
la,lot
la,uh
la,weather's
la,lot
la,better
uh,move
uh,la
well,move
well,la
i've,move
i've,la
living,move
living,la
um,,move
um,,la
palm,move
palm,la
spring,move
spring,la
actually,move
actually,la
uh,move
uh,la
la,move
la,la
there's,move
there's,la
lot,move
lot,la
uh,move
uh,la
weather's,move
weather's,la
lot,move
lot,la
better,move
better,la
move,uh
move,work
la,uh
la,work
uh,happy
work,happy
happy,yes
yes,thing
yes,really
yes,like
yes,la
thing,uh
thing,weather
thing,beach,
thing,lot
thing,activity
thing,thing
really,uh
really,weather
really,beach,
really,lot
really,activity
really,thing
like,uh
like,weather
like,beach,
like,lot
like,activity
like,thing
la,uh
la,weather
la,beach,
la,lot
la,activity
la,thing
uh,thing
uh,really
uh,like
uh,la
weather,thing
weather,really
weather,like
weather,la
beach,,thing
beach,,really
beach,,like
beach,,la
lot,thing
lot,really
lot,like
lot,la
activity,thing
activity,really
activity,like
activity,la
thing,thing
thing,really
thing,like
thing,la
thing,mm
thing,traffic,
thing,uh
thing,rental
thing,higher
thing,lot
thing,higher
really,mm
really,traffic,
really,uh
really,rental
really,higher
really,lot
really,higher
like,mm
like,traffic,
like,uh
like,rental
like,higher
like,lot
like,higher
la,mm
la,traffic,
la,uh
la,rental
la,higher
la,lot
la,higher
mm,easy
mm,get
mm,used
mm,living
mm,la
traffic,,easy
traffic,,get
traffic,,used
traffic,,living
traffic,,la
uh,easy
uh,get
uh,used
uh,living
uh,la
rental,easy
rental,get
rental,used
rental,living
rental,la
higher,easy
higher,get
higher,used
higher,living
higher,la
lot,easy
lot,get
lot,used
lot,living
lot,la
higher,easy
higher,get
higher,used
higher,living
higher,la
easy,uh
easy,first
easy,little
easy,difficult
easy,adapted
get,uh
get,first
get,little
get,difficult
get,adapted
used,uh
used,first
used,little
used,difficult
used,adapted
living,uh
living,first
living,little
living,difficult
living,adapted
la,uh
la,first
la,little
la,difficult
la,adapted
uh,i'm
uh,sure
uh,tell
uh,shoe
uh,i'm
uh,much
uh,world
uh,explorer
uh,travel
uh,lot
first,i'm
first,sure
first,tell
first,shoe
first,i'm
first,much
first,world
first,explorer
first,travel
first,lot
little,i'm
little,sure
little,tell
little,shoe
little,i'm
little,much
little,world
little,explorer
little,travel
little,lot
difficult,i'm
difficult,sure
difficult,tell
difficult,shoe
difficult,i'm
difficult,much
difficult,world
difficult,explorer
difficult,travel
difficult,lot
adapted,i'm
adapted,sure
adapted,tell
adapted,shoe
adapted,i'm
adapted,much
adapted,world
adapted,explorer
adapted,travel
adapted,lot
i'm,uh
i'm,united
i'm,state
sure,uh
sure,united
sure,state
tell,uh
tell,united
tell,state
shoe,uh
shoe,united
shoe,state
i'm,uh
i'm,united
i'm,state
much,uh
much,united
much,state
world,uh
world,united
world,state
explorer,uh
explorer,united
explorer,state
travel,uh
travel,united
travel,state
lot,uh
lot,united
lot,state
uh,enjoy
uh,traveling
united,enjoy
united,traveling
state,enjoy
state,traveling
enjoy,uh
enjoy,new
enjoy,experience
enjoy,uh
enjoy,learn
enjoy,lot
enjoy,thing
traveling,uh
traveling,new
traveling,experience
traveling,uh
traveling,learn
traveling,lot
traveling,thing
uh,i'd
uh,love
uh,hear
uh,one
uh,trip
new,i'd
new,love
new,hear
new,one
new,trip
experience,i'd
experience,love
experience,hear
experience,one
experience,trip
uh,i'd
uh,love
uh,hear
uh,one
uh,trip
learn,i'd
learn,love
learn,hear
learn,one
learn,trip
lot,i'd
lot,love
lot,hear
lot,one
lot,trip
thing,i'd
thing,love
thing,hear
thing,one
thing,trip
i'd,uh
i'd,yeah
i'd,one
i'd,time
i'd,went
i'd,uh
i'd,yosemite,
i'd,san
i'd,francisco,
i'd,uh
i'd,really
i'd,enjoy
i'd,beautiful
i'd,scenery
love,uh
love,yeah
love,one
love,time
love,went
love,uh
love,yosemite,
love,san
love,francisco,
love,uh
love,really
love,enjoy
