today,alright
alright,originally
originally,passaic
originally,new
originally,jersey
passaic,really
new,really
jersey,really
really,yes
yes,move
yes,la
move,uh
move,five
move,year
move,ago
la,uh
la,five
la,year
la,ago
uh,often
uh,go
uh,back
uh,hometown
five,often
five,go
five,back
five,hometown
year,often
year,go
year,back
year,hometown
ago,often
ago,go
ago,back
ago,hometown
often,try
often,go
often,back
often,every
often,year
go,try
go,go
go,back
go,every
go,year
back,try
back,go
back,back
back,every
back,year
hometown,try
hometown,go
hometown,back
hometown,every
hometown,year
try,compare
try,la
go,compare
go,la
back,compare
back,la
every,compare
every,la
year,compare
year,la
compare,uh,
compare,there's
compare,lot
compare,people
la,uh,
la,there's
la,lot
la,people
uh,,move
uh,,la
there's,move
there's,la
lot,move
lot,la
people,move
people,la
move,change
move,scenery
la,change
la,scenery
change,easy
change,get
change,used
change,living
change,la
scenery,easy
scenery,get
scenery,used
scenery,living
scenery,la
easy,i'm
easy,still
easy,trying
easy,get
easy,used
get,i'm
get,still
get,trying
get,get
get,used
used,i'm
used,still
used,trying
used,get
used,used
living,i'm
living,still
living,trying
living,get
living,used
la,i'm
la,still
la,trying
la,get
la,used
i'm,thing
i'm,really
i'm,like
i'm,la
still,thing
still,really
still,like
still,la
trying,thing
trying,really
trying,like
trying,la
get,thing
get,really
get,like
get,la
used,thing
used,really
used,like
used,la
thing,people
really,people
like,people
la,people
people,thing
people,really
people,like
people,la
thing,um,
thing,employment
thing,right
thing,work
really,um,
really,employment
really,right
really,work
like,um,
like,employment
like,right
like,work
la,um,
la,employment
la,right
la,work
um,,tough
um,,find
um,,good
um,,job
um,,day
employment,tough
employment,find
employment,good
employment,job
employment,day
right,tough
right,find
right,good
right,job
right,day
work,tough
work,find
work,good
work,job
work,day
tough,yeah
find,yeah
good,yeah
job,yeah
day,yeah
yeah,study
yeah,school
study,really
study,much
study,education
school,really
school,much
school,education
really,what's
really,dream
really,job
much,what's
much,dream
much,job
education,what's
education,dream
education,job
what's,figured
what's,yet
dream,figured
dream,yet
job,figured
job,yet
figured,i'm
figured,sure
figured,tell
figured,shoe
figured,i'm
figured,much
figured,world
figured,explorer
figured,travel
figured,lot
yet,i'm
yet,sure
yet,tell
yet,shoe
yet,i'm
yet,much
yet,world
yet,explorer
yet,travel
yet,lot
i'm,really
i'm,*sigh*
sure,really
sure,*sigh*
tell,really
tell,*sigh*
shoe,really
shoe,*sigh*
i'm,really
i'm,*sigh*
much,really
much,*sigh*
world,really
world,*sigh*
explorer,really
explorer,*sigh*
travel,really
travel,*sigh*
lot,really
lot,*sigh*
really,consider
really,shy
really,outgoing
*sigh*,consider
*sigh*,shy
*sigh*,outgoing
consider,i've
consider,gotten
consider,shy
shy,i've
shy,gotten
shy,shy
outgoing,i've
outgoing,gotten
outgoing,shy
i'm,sometimes
i'm,i'm
i'm,feeling
i'm,tense
i'm,turn
i'm,fish
i'm,tank
i'm,screensaver
i'm,hey
i'm,know
i'm,hawaii
i'm,best
i'm,i've
i'm,got
i'm,relax
sure,sometimes
sure,i'm
sure,feeling
sure,tense
sure,turn
sure,fish
sure,tank
sure,screensaver
sure,hey
sure,know
sure,hawaii
sure,best
sure,i've
sure,got
sure,relax
i'm,sometimes
i'm,i'm
i'm,feeling
i'm,tense
i'm,turn
i'm,fish
i'm,tank
i'm,screensaver
i'm,hey
i'm,know
i'm,hawaii
i'm,best
i'm,i've
i'm,got
i'm,relax
just,,sometimes
just,,i'm
just,,feeling
just,,tense
just,,turn
just,,fish
just,,tank
just,,screensaver
just,,hey
just,,know
just,,hawaii
just,,best
just,,i've
just,,got
just,,relax
lot,sometimes
lot,i'm
lot,feeling
lot,tense
lot,turn
lot,fish
lot,tank
lot,screensaver
lot,hey
lot,know
lot,hawaii
lot,best
lot,i've
lot,got
lot,relax
reserved,sometimes
reserved,i'm
reserved,feeling
reserved,tense
reserved,turn
reserved,fish
reserved,tank
reserved,screensaver
reserved,hey
reserved,know
reserved,hawaii
reserved,best
reserved,i've
reserved,got
reserved,relax
i'm,sometimes
i'm,i'm
i'm,feeling
i'm,tense
i'm,turn
i'm,fish
i'm,tank
i'm,screensaver
i'm,hey
i'm,know
i'm,hawaii
i'm,best
i'm,i've
i'm,got
i'm,relax
sure,sometimes
sure,i'm
sure,feeling
sure,tense
sure,turn
sure,fish
sure,tank
sure,screensaver
sure,hey
sure,know
sure,hawaii
sure,best
sure,i've
sure,got
sure,relax
just,,sometimes
just,,i'm
just,,feeling
just,,tense
just,,turn
just,,fish
just,,tank
just,,screensaver
just,,hey
just,,know
just,,hawaii
just,,best
just,,i've
just,,got
just,,relax
build,sometimes
build,i'm
build,feeling
build,tense
build,turn
build,fish
build,tank
build,screensaver
build,hey
build,know
build,hawaii
build,best
build,i've
build,got
build,relax
wall,sometimes
wall,i'm
wall,feeling
wall,tense
wall,turn
wall,fish
wall,tank
wall,screensaver
wall,hey
wall,know
wall,hawaii
wall,best
wall,i've
wall,got
wall,relax
guess,sometimes
guess,i'm
guess,feeling
guess,tense
guess,turn
guess,fish
guess,tank
guess,screensaver
guess,hey
guess,know
guess,hawaii
guess,best
guess,i've
guess,got
guess,relax
know,sometimes
know,i'm
know,feeling
know,tense
know,turn
know,fish
know,tank
know,screensaver
know,hey
know,know
know,hawaii
know,best
know,i've
know,got
know,relax
*laughter*,sometimes
*laughter*,i'm
*laughter*,feeling
*laughter*,tense
*laughter*,turn
*laughter*,fish
*laughter*,tank
*laughter*,screensaver
*laughter*,hey
*laughter*,know
*laughter*,hawaii
*laughter*,best
*laughter*,i've
*laughter*,got
*laughter*,relax
sometimes,count
sometimes,ten
sometimes,*laughter*
i'm,count
i'm,ten
i'm,*laughter*
feeling,count
feeling,ten
feeling,*laughter*
tense,count
tense,ten
