today,okay
okay,originally
originally,eh
originally,alhambra
eh,thing
eh,really
eh,like
eh,la
alhambra,thing
alhambra,really
alhambra,like
alhambra,la
thing,uh
thing,weather's
thing,really
thing,nice
thing,everything's
thing,familiar
really,uh
really,weather's
really,really
really,nice
really,everything's
really,familiar
like,uh
like,weather's
like,really
like,nice
like,everything's
like,familiar
la,uh
la,weather's
la,really
la,nice
la,everything's
la,familiar
uh,thing
uh,really
uh,like
uh,la
weather's,thing
weather's,really
weather's,like
weather's,la
really,thing
really,really
really,like
really,la
nice,thing
nice,really
nice,like
nice,la
everything's,thing
everything's,really
everything's,like
everything's,la
familiar,thing
familiar,really
familiar,like
familiar,la
thing,uh
thing,sometimes
thing,there's
thing,much
thing,congestion
thing,road
thing,much
thing,traffic
really,uh
really,sometimes
really,there's
really,much
really,congestion
really,road
really,much
really,traffic
like,uh
like,sometimes
like,there's
like,much
like,congestion
like,road
like,much
like,traffic
la,uh
la,sometimes
la,there's
la,much
la,congestion
la,road
la,much
la,traffic
uh,what'd
uh,study
uh,school
sometimes,what'd
sometimes,study
sometimes,school
there's,what'd
there's,study
there's,school
much,what'd
much,study
much,school
congestion,what'd
congestion,study
congestion,school
road,what'd
road,study
road,school
much,what'd
much,study
much,school
traffic,what'd
traffic,study
traffic,school
what'd,studied
what'd,art
what'd,photography
study,studied
study,art
study,photography
school,studied
school,art
school,photography
studied,decide
art,decide
photography,decide
decide,uh
decide,much
decide,decision
decide,kept
decide,noticing
decide,interested
uh,still
uh,working
much,still
much,working
decision,still
decision,working
kept,still
kept,working
noticing,still
noticing,working
interested,still
interested,working
still,yes
working,yes
i'm,nice
photographer,nice
nice,mhm
mhm,what's
mhm,dream
mhm,job
what's,oh,
what's,suppose
what's,uh,
what's,um,
what's,running
what's,family
what's,portrait
what's,studio
what's,type
what's,photography
what's,business
dream,oh,
dream,suppose
dream,uh,
dream,um,
dream,running
dream,family
dream,portrait
dream,studio
dream,type
dream,photography
dream,business
job,oh,
job,suppose
job,uh,
job,um,
job,running
job,family
job,portrait
job,studio
job,type
job,photography
job,business
oh,,travel
oh,,lot
suppose,travel
suppose,lot
uh,,travel
uh,,lot
um,,travel
um,,lot
running,travel
running,lot
family,travel
family,lot
portrait,travel
portrait,lot
studio,travel
studio,lot
type,travel
type,lot
photography,travel
photography,lot
business,travel
business,lot
travel,uh
travel,i'm
travel,also
travel,apartment
travel,manager
travel,keep
travel,tied
lot,uh
lot,i'm
lot,also
lot,apartment
lot,manager
lot,keep
lot,tied
uh,like
uh,living
uh,situation
i'm,like
i'm,living
i'm,situation
also,like
also,living
also,situation
apartment,like
apartment,living
apartment,situation
manager,like
manager,living
manager,situation
keep,like
keep,living
keep,situation
tied,like
tied,living
tied,situation
like,um
like,uh
like,fair
like,greatest
like,apartment
like,manager,
like,i've
like,free
like,rent
like,stay,
like,lot,
living,um
living,uh
living,fair
living,greatest
living,apartment
living,manager,
living,i've
living,free
living,rent
living,stay,
living,lot,
situation,um
situation,uh
situation,fair
situation,greatest
situation,apartment
situation,manager,
situation,i've
situation,free
situation,rent
situation,stay,
situation,lot,
um,suck
uh,suck
fair,suck
greatest,suck
apartment,suck
manager,,suck
i've,suck
free,suck
rent,suck
stay,,suck
lot,,suck
suck,part
suck,free
suck,rent
suck,part
suck,good
part,what's
part,one
part,memorable
part,experience
free,what's
free,one
free,memorable
free,experience
rent,what's
rent,one
rent,memorable
rent,experience
part,what's
part,one
part,memorable
part,experience
good,what's
good,one
good,memorable
good,experience
what's,oh
what's,gosh,
what's,memorable
what's,experience,
what's,that's
what's,hard
what's,say,
what's,um,
what's,well,
what's,mean
what's,there's
what's,good
what's,bad
what's,memorable
what's,experience
one,oh
one,gosh,
one,memorable
one,experience,
one,that's
one,hard
one,say,
one,um,
one,well,
one,mean
one,there's
one,good
one,bad
one,memorable
one,experience
memorable,oh
memorable,gosh,
memorable,memorable
memorable,experience,
memorable,that's
memorable,hard
memorable,say,
memorable,um,
memorable,well,
memorable,mean
memorable,there's
memorable,good
memorable,bad
memorable,memorable
memorable,experience
experience,oh
experience,gosh,
experience,memorable
experience,experience,
experience,that's
experience,hard
experience,say,
experience,um,
experience,well,
experience,mean
experience,there's
experience,good
experience,bad
experience,memorable
experience,experience
oh,whatever
oh,come
oh,mind
gosh,,whatever
gosh,,come
gosh,,mind
memorable,whatever
memorable,come
memorable,mind
experience,,whatever
experience,,come
experience,,mind
that's,whatever
that's,come
that's,mind
hard,whatever
hard,come
hard,mind
say,,whatever
say,,come
say,,mind
um,,whatever
um,,come
um,,mind
well,,whatever
well,,come
well,,mind
mean,whatever
mean,come
mean,mind
there's,whatever
there's,come
there's,mind
good,whatever
good,come
good,mind
bad,whatever
bad,come
bad,mind
memorable,whatever
memorable,come
memorable,mind
experience,whatever
experience,come
experience,mind
whatever,oh,
whatever,well
whatever,guess
whatever,like
whatever,sport
whatever,success
whatever,high
whatever,school,
whatever,thing
whatever,happy
whatever,about,
whatever,and,
whatever,art
whatever,piece
whatever,i've
whatever,made
whatever,memorable,
whatever,and,
whatever,bad
whatever,thing
whatever,would
whatever,father's
whatever,death
whatever,know
whatever,memorable
whatever,good
whatever,though
come,oh,
come,well
come,guess
come,like
come,sport
come,success
come,high
come,school,
come,thing
come,happy
come,about,
come,and,
come,art
come,piece
come,i've
come,made
come,memorable,
come,and,
come,bad
come,thing
come,would
come,father's
come,death
come,know
come,memorable
come,good
come,though
mind,oh,
mind,well
mind,guess
mind,like
mind,sport
mind,success
mind,high
mind,school,
mind,thing
mind,happy
mind,about,
mind,and,
mind,art
mind,piece
mind,i've
mind,made
mind,memorable,
mind,and,
mind,bad
mind,thing
mind,would
mind,father's
mind,death
mind,know
mind,memorable
mind,good
mind,though
oh,,who's
oh,,someone
oh,,that's
oh,,positive
oh,,influence
oh,,life
well,who's
well,someone
well,that's
well,positive
well,influence
well,life
guess,who's
guess,someone
guess,that's
guess,positive
guess,influence
guess,life
like,who's
like,someone
like,that's
like,positive
like,influence
like,life
sport,who's
sport,someone
sport,that's
sport,positive
sport,influence
sport,life
success,who's
success,someone
success,that's
success,positive
success,influence
success,life
high,who's
high,someone
high,that's
high,positive
high,influence
high,life
school,,who's
school,,someone
school,,that's
school,,positive
school,,influence
school,,life
thing,who's
thing,someone
thing,that's
thing,positive
thing,influence
thing,life
happy,who's
happy,someone
happy,that's
happy,positive
happy,influence
happy,life
about,,who's
about,,someone
about,,that's
about,,positive
about,,influence
about,,life
and,,who's
and,,someone
and,,that's
and,,positive
and,,influence
and,,life
art,who's
art,someone
art,that's
art,positive
art,influence
art,life
piece,who's
piece,someone
piece,that's
piece,positive
piece,influence
piece,life
i've,who's
i've,someone
i've,that's
