today,okay
okay,why'd
okay,move
okay,la
why'd,uh,
why'd,when'd
why'd,move
why'd,la,
why'd,um
move,uh,
move,when'd
move,move
move,la,
move,um
la,uh,
la,when'd
la,move
la,la,
la,um
uh,,yes
when'd,yes
move,yes
la,,yes
um,yes
yes,moved
yes,long
yes,time
yes,ago
yes,live
yes,go
yes,work
moved,originally
long,originally
time,originally
ago,originally
live,originally
go,originally
work,originally
originally,um,
originally,well
originally,arizona
originally,colorado
um,,often
um,,go
um,,back
um,,home
um,,town
well,often
well,go
well,back
well,home
well,town
arizona,often
arizona,go
arizona,back
arizona,home
arizona,town
colorado,often
colorado,go
colorado,back
colorado,home
colorado,town
uh,compare
uh,la
money,compare
money,la
money,compare
money,la
compare,la's
compare,much
compare,nicer
la,la's
la,much
la,nicer
la's,thing
la's,really
la's,like
la's,la
much,thing
much,really
much,like
much,la
nicer,thing
nicer,really
nicer,like
nicer,la
thing,um
thing,*sigh*,
thing,people
thing,movies,
thing,uh
thing,ocean,
thing,uh
thing,wake
thing,morning
thing,there's
thing,seagull
thing,instead
thing,bird
thing,know,
thing,regular
thing,bird
really,um
really,*sigh*,
really,people
really,movies,
really,uh
really,ocean,
really,uh
really,wake
really,morning
really,there's
really,seagull
really,instead
really,bird
really,know,
really,regular
really,bird
like,um
like,*sigh*,
like,people
like,movies,
like,uh
like,ocean,
like,uh
like,wake
like,morning
like,there's
like,seagull
like,instead
like,bird
like,know,
like,regular
like,bird
la,um
la,*sigh*,
la,people
la,movies,
la,uh
la,ocean,
la,uh
la,wake
la,morning
la,there's
la,seagull
la,instead
la,bird
la,know,
la,regular
la,bird
um,thing
um,really
um,like
um,la
*sigh*,,thing
*sigh*,,really
*sigh*,,like
*sigh*,,la
people,thing
people,really
people,like
people,la
movies,,thing
movies,,really
movies,,like
movies,,la
uh,thing
uh,really
uh,like
uh,la
ocean,,thing
ocean,,really
ocean,,like
ocean,,la
uh,thing
uh,really
uh,like
uh,la
wake,thing
wake,really
wake,like
wake,la
morning,thing
morning,really
morning,like
morning,la
there's,thing
there's,really
there's,like
there's,la
seagull,thing
seagull,really
seagull,like
seagull,la
instead,thing
instead,really
instead,like
instead,la
bird,thing
bird,really
bird,like
bird,la
know,,thing
know,,really
know,,like
know,,la
regular,thing
regular,really
regular,like
regular,la
bird,thing
bird,really
bird,like
bird,la
thing,uh,
thing,road
thing,*laughter*
thing,road
thing,really
thing,lot
thing,pothole
thing,*laughter*
really,uh,
really,road
really,*laughter*
really,road
really,really
really,lot
really,pothole
really,*laughter*
like,uh,
like,road
like,*laughter*
like,road
like,really
like,lot
like,pothole
like,*laughter*
la,uh,
la,road
la,*laughter*
la,road
la,really
la,lot
la,pothole
la,*laughter*
uh,,*laughter*
road,*laughter*
*laughter*,*laughter*
road,*laughter*
really,*laughter*
lot,*laughter*
pothole,*laughter*
*laughter*,*laughter*
*laughter*,yeah
yeah,easy
yeah,get
yeah,used
yeah,living
yeah,la
easy,hard
easy,get
easy,used
easy,like
easy,arizona
easy,really
easy,nice
easy,la
get,hard
get,get
get,used
get,like
get,arizona
get,really
get,nice
get,la
used,hard
used,get
used,used
used,like
used,arizona
used,really
used,nice
used,la
living,hard
living,get
living,used
living,like
living,arizona
living,really
living,nice
living,la
la,hard
la,get
la,used
la,like
la,arizona
la,really
la,nice
la,la
hard,travel
hard,lot
get,travel
get,lot
used,travel
used,lot
like,travel
like,lot
arizona,travel
arizona,lot
really,travel
really,lot
nice,travel
nice,lot
la,travel
la,lot
now,,what's
now,,dream
now,,job
um,what's
um,dream
um,job
i,,what's
i,,dream
i,,job
sleep,what's
sleep,dream
sleep,job
eat,what's
eat,dream
eat,job
walk,what's
walk,dream
walk,job
dog,what's
dog,dream
dog,job
that's,what's
that's,dream
that's,job
what's,what'd
what's,dream
what's,job,
what's,um,
what's,know
what's,uh
