today,alright
alright,originally
originally,born
originally,uh
originally,los
originally,angeles
originally,california
born,thing
born,really
born,like
born,la
uh,thing
uh,really
uh,like
uh,la
los,thing
los,really
los,like
los,la
angeles,thing
angeles,really
angeles,like
angeles,la
california,thing
california,really
california,like
california,la
thing,uh
thing,well
thing,weather
thing,uh,
thing,fact
thing,uh
thing,people
thing,obtrusive
thing,like
thing,east
thing,coast
really,uh
really,well
really,weather
really,uh,
really,fact
really,uh
really,people
really,obtrusive
really,like
really,east
really,coast
like,uh
like,well
like,weather
like,uh,
like,fact
like,uh
like,people
like,obtrusive
like,like
like,east
like,coast
la,uh
la,well
la,weather
la,uh,
la,fact
la,uh
la,people
la,obtrusive
la,like
la,east
la,coast
uh,thing
uh,really
uh,like
uh,la
well,thing
well,really
well,like
well,la
weather,thing
weather,really
weather,like
weather,la
uh,,thing
uh,,really
uh,,like
uh,,la
fact,thing
fact,really
fact,like
fact,la
uh,thing
uh,really
uh,like
uh,la
people,thing
people,really
people,like
people,la
obtrusive,thing
obtrusive,really
obtrusive,like
obtrusive,la
like,thing
like,really
like,like
like,la
east,thing
east,really
east,like
east,la
coast,thing
coast,really
coast,like
coast,la
thing,uh,
thing,uh
thing,traffic
thing,the,
thing,smoggy
thing,weather
really,uh,
really,uh
really,traffic
really,the,
really,smoggy
really,weather
like,uh,
like,uh
like,traffic
like,the,
like,smoggy
like,weather
la,uh,
la,uh
la,traffic
la,the,
la,smoggy
la,weather
uh,,travel
uh,,lot
uh,travel
uh,lot
traffic,travel
traffic,lot
the,,travel
the,,lot
smoggy,travel
smoggy,lot
weather,travel
weather,lot
travel,used
travel,i'm
travel,unemployed
travel,rarely
travel,go
travel,anywhere
lot,used
lot,i'm
lot,unemployed
lot,rarely
lot,go
lot,anywhere
used,what'd
used,study
used,school
i'm,what'd
i'm,study
i'm,school
unemployed,what'd
unemployed,study
unemployed,school
rarely,what'd
rarely,study
rarely,school
go,what'd
go,study
go,school
anywhere,what'd
anywhere,study
anywhere,school
what'd,b
what'd,uh
what'd,business
what'd,uh
what'd,computer
what'd,uh,
what'd,option
study,b
study,uh
study,business
study,uh
study,computer
study,uh,
study,option
school,b
school,uh
school,business
school,uh
school,computer
school,uh,
school,option
b,decide
uh,decide
business,decide
uh,decide
computer,decide
uh,,decide
option,decide
decide,thought
decide,place
decide,could
decide,get
decide,job
decide,business
decide,business
decide,degree
decide,accounting
decide,business
decide,computer
decide,method
decide,took
decide,took
decide,business
decide,computer
decide,method
decide,option
thought,what's
thought,dream
thought,job
place,what's
place,dream
place,job
could,what's
could,dream
could,job
get,what's
get,dream
get,job
job,what's
job,dream
job,job
business,what's
business,dream
business,job
business,what's
business,dream
business,job
degree,what's
degree,dream
degree,job
accounting,what's
accounting,dream
accounting,job
business,what's
business,dream
business,job
computer,what's
computer,dream
computer,job
method,what's
method,dream
method,job
took,what's
took,dream
took,job
took,what's
took,dream
took,job
business,what's
business,dream
business,job
computer,what's
computer,dream
computer,job
method,what's
method,dream
method,job
option,what's
option,dream
option,job
what's,oh
what's,i'd
what's,probably
what's,like
what's,uh,
what's,professional
what's,sport
what's,player
what's,actor
what's,something
what's,something
what's,enjoy
dream,oh
dream,i'd
dream,probably
dream,like
dream,uh,
dream,professional
dream,sport
dream,player
dream,actor
dream,something
dream,something
dream,enjoy
job,oh
job,i'd
job,probably
job,like
job,uh,
job,professional
job,sport
job,player
job,actor
job,something
job,something
job,enjoy
oh,thing
oh,like
oh,fun
i'd,thing
i'd,like
i'd,fun
probably,thing
probably,like
probably,fun
like,thing
like,like
like,fun
uh,,thing
uh,,like
uh,,fun
professional,thing
professional,like
professional,fun
sport,thing
sport,like
sport,fun
player,thing
player,like
player,fun
actor,thing
actor,like
actor,fun
something,thing
something,like
something,fun
something,thing
something,like
something,fun
enjoy,thing
enjoy,like
enjoy,fun
thing,like
thing,uh,
thing,ride
thing,bike
thing,like
thing,watch
thing,sporting
thing,event
thing,can't
thing,afford
thing,go
thing,them,
thing,pretty
thing,much
thing,watch
thing,tv
like,like
like,uh,
like,ride
like,bike
like,like
like,watch
like,sporting
like,event
like,can't
like,afford
like,go
like,them,
like,pretty
like,much
like,watch
like,tv
fun,like
fun,uh,
fun,ride
fun,bike
fun,like
fun,watch
fun,sporting
fun,event
fun,can't
fun,afford
fun,go
fun,them,
fun,pretty
fun,much
fun,watch
fun,tv
like,okay
uh,,okay
ride,okay
bike,okay
like,okay
watch,okay
sporting,okay
event,okay
can't,okay
afford,okay
go,okay
them,,okay
pretty,okay
much,okay
watch,okay
tv,okay
okay,like
okay,travel
okay,like
okay,say
okay,money
okay,anymore
like,i'm
like,sorry
travel,i'm
travel,sorry
like,i'm
like,sorry
say,i'm
say,sorry
money,i'm
money,sorry
anymore,i'm
anymore,sorry
i'm,that's
i'm,alright
sorry,that's
sorry,alright
that's,thing
that's,make
that's,really
that's,mad
alright,thing
alright,make
alright,really
alright,mad
thing,uh
thing,*sigh*
thing,people
thing,chicken
thing,head
thing,get
thing,nose
thing,people's
thing,business
thing,even
thing,they're
thing,stranger
thing,expect
thing,family
thing,member,
thing,friend
thing,know
make,uh
make,*sigh*
make,people
make,chicken
make,head
make,get
make,nose
make,people's
make,business
make,even
make,they're
make,stranger
make,expect
make,family
make,member,
make,friend
make,know
really,uh
really,*sigh*
really,people
really,chicken
really,head
really,get
really,nose
really,people's
really,business
really,even
really,they're
really,stranger
really,expect
really,family
really,member,
really,friend
really,know
mad,uh
mad,*sigh*
mad,people
mad,chicken
mad,head
mad,get
mad,nose
mad,people's
mad,business
mad,even
mad,they're
mad,stranger
mad,expect
mad,family
mad,member,
mad,friend
mad,know
uh,see
uh,mean
*sigh*,see
*sigh*,mean
people,see
people,mean
chicken,see
chicken,mean
head,see
head,mean
get,see
get,mean
nose,see
nose,mean
people's,see
people's,mean
business,see
business,mean
even,see
even,mean
they're,see
they're,mean
stranger,see
stranger,mean
expect,see
expect,mean
family,see
family,mean
member,,see
member,,mean
friend,see
friend,mean
know,see
know,mean
see,especially
see,internet
see,feed
see,lot
see,know
see,orwell
see,referring
see,spoke
see,big
see,brother
see,nineteen
see,eighty
see,four
mean,especially
mean,internet
mean,feed
mean,lot
mean,know
mean,orwell
mean,referring
mean,spoke
mean,big
mean,brother
mean,nineteen
mean,eighty
mean,four
especially,annoyed
internet,annoyed
feed,annoyed
lot,annoyed
know,annoyed
orwell,annoyed
referring,annoyed
spoke,annoyed
big,annoyed
brother,annoyed
nineteen,annoyed
eighty,annoyed
four,annoyed
annoyed,uh
annoyed,much,
annoyed,much
annoyed,different
annoyed,would
annoyed,otherwise
uh,controlling
uh,temper
much,,controlling
much,,temper
much,controlling
much,temper
different,controlling
different,temper
would,controlling
would,temper
otherwise,controlling
otherwise,temper
controlling,uh
controlling,i've
controlling,many
controlling,temper
controlling,outburst
temper,uh
temper,i've
temper,many
temper,temper
temper,outburst
uh,last
uh,time
uh,argued
uh,someone
i've,last
i've,time
i've,argued
i've,someone
many,last
many,time
many,argued
many,someone
temper,last
temper,time
temper,argued
temper,someone
outburst,last
outburst,time
outburst,argued
outburst,someone
last,uh,
last,kinda
last,argue
last,aunt,
last,basically,
last,making
last,leading
last,statement
last,trying
last,trap
last,saying
last,something
last,relative,
last,uh
last,annoyed
last,greatly
time,uh,
time,kinda
time,argue
time,aunt,
time,basically,
time,making
time,leading
time,statement
time,trying
time,trap
time,saying
time,something
time,relative,
time,uh
time,annoyed
time,greatly
argued,uh,
argued,kinda
argued,argue
argued,aunt,
argued,basically,
argued,making
argued,leading
argued,statement
argued,trying
argued,trap
argued,saying
argued,something
argued,relative,
argued,uh
argued,annoyed
argued,greatly
someone,uh,
someone,kinda
someone,argue
someone,aunt,
someone,basically,
someone,making
someone,leading
someone,statement
someone,trying
someone,trap
someone,saying
someone,something
someone,relative,
someone,uh
someone,annoyed
someone,greatly
uh,,close
uh,,family
kinda,close
kinda,family
argue,close
argue,family
aunt,,close
aunt,,family
basically,,close
basically,,family
making,close
making,family
leading,close
leading,family
statement,close
statement,family
trying,close
trying,family
trap,close
trap,family
saying,close
saying,family
something,close
something,family
relative,,close
relative,,family
uh,close
uh,family
annoyed,close
annoyed,family
greatly,close
greatly,family
close,uh
close,i'm
close,kind
close,out
close,parent
family,uh
family,i'm
family,kind
family,out
family,parent
i'm,who's
i'm,someone
i'm,that's
i'm,positive
i'm,influence
i'm,life
kind,who's
kind,someone
kind,that's
kind,positive
kind,influence
kind,life
black,who's
black,someone
black,that's
black,positive
black,influence
black,life
sheep,who's
sheep,someone
sheep,that's
sheep,positive
sheep,influence
sheep,life
who's,oh
who's,uh
who's,mean
who's,mom's
who's,done
who's,help
who's,me,
who's,done
who's,lot,
who's,know
who's,uh
who's,anybody
who's,far
someone,oh
someone,uh
someone,mean
someone,mom's
someone,done
someone,help
someone,me,
someone,done
someone,lot,
someone,know
someone,uh
someone,anybody
someone,far
that's,oh
that's,uh
that's,mean
that's,mom's
that's,done
that's,help
that's,me,
that's,done
that's,lot,
that's,know
that's,uh
that's,anybody
that's,far
positive,oh
positive,uh
positive,mean
positive,mom's
positive,done
positive,help
positive,me,
positive,done
positive,lot,
positive,know
positive,uh
positive,anybody
positive,far
influence,oh
influence,uh
influence,mean
influence,mom's
influence,done
influence,help
influence,me,
influence,done
influence,lot,
influence,know
influence,uh
influence,anybody
influence,far
life,oh
life,uh
life,mean
life,mom's
life,done
life,help
life,me,
life,done
life,lot,
life,know
life,uh
life,anybody
life,far
oh,tell
uh,tell
mean,tell
mom's,tell
done,tell
help,tell
me,,tell
done,tell
lot,,tell
know,tell
uh,tell
anybody,tell
far,tell
tell,well
tell,mean
