today,fine
fine,originally
originally,new
originally,york
new,really
york,really
really,yep
yep,move
yep,la
move,eh
move,six
move,months,
move,six
move,month
move,ago
la,eh
la,six
la,months,
la,six
la,month
la,ago
eh,compare
eh,la
six,compare
six,la
months,,compare
months,,la
six,compare
six,la
month,compare
month,la
ago,compare
ago,la
compare,nicer
compare,pace
la,nicer
la,pace
nicer,move
nicer,la
pace,move
pace,la
move,uh
move,photography
move,job
la,uh
la,photography
la,job
uh,happy
photography,happy
job,happy
happy,good
happy,move
good,that's
good,good
good,hear
move,that's
move,good
move,hear
that's,mm
good,mm
hear,mm
mm,easy
mm,get
mm,used
mm,living
mm,la
easy,uh
easy,love
easy,weather
get,uh
get,love
get,weather
used,uh
used,love
used,weather
living,uh
living,love
living,weather
la,uh
la,love
la,weather
uh,thing
uh,really
uh,like
uh,la
love,thing
love,really
love,like
love,la
weather,thing
weather,really
weather,like
weather,la
thing,cool
thing,people,
thing,relax
thing,easy
thing,talk
really,cool
really,people,
really,relax
really,easy
really,talk
like,cool
like,people,
like,relax
like,easy
like,talk
la,cool
la,people,
la,relax
la,easy
la,talk
cool,mhm
people,,mhm
relax,mhm
easy,mhm
talk,mhm
mhm,uh,
mhm,nice
mhm,environment
uh,,thing
uh,,really
uh,,like
uh,,la
nice,thing
nice,really
nice,like
nice,la
environment,thing
environment,really
environment,like
environment,la
thing,mm,
thing,crime
thing,go
thing,section
really,mm,
really,crime
really,go
really,section
like,mm,
like,crime
like,go
like,section
la,mm,
la,crime
la,go
la,section
mm,,see
mm,,mean
crime,see
crime,mean
go,see
go,mean
section,see
section,mean
see,yeah
mean,yeah
yeah,i'm
yeah,sure
yeah,tell
yeah,shoe
yeah,i'm
yeah,much
yeah,world
yeah,explorer
yeah,travel
yeah,lot
i'm,i've
i'm,done
i'm,share
sure,i've
sure,done
sure,share
tell,i've
tell,done
tell,share
shoe,i've
shoe,done
shoe,share
i'm,i've
i'm,done
i'm,share
much,i've
much,done
much,share
world,i've
world,done
world,share
explorer,i've
explorer,done
explorer,share
travel,i've
travel,done
travel,share
lot,i've
lot,done
lot,share
i've,enjoy
i've,traveling
done,enjoy
done,traveling
share,enjoy
share,traveling
enjoy,uh
enjoy,ability
enjoy,*sigh*,
enjoy,capture
enjoy,events,
enjoy,part
enjoy,part
enjoy,exciting
enjoy,thing
enjoy,like
traveling,uh
traveling,ability
traveling,*sigh*,
traveling,capture
traveling,events,
traveling,part
traveling,part
traveling,exciting
traveling,thing
traveling,like
uh,like
ability,like
*sigh*,,like
capture,like
events,,like
part,like
part,like
exciting,like
thing,like
like,like
like,um,
like,olympics
like,game
like,festival
like,uh,
like,special
like,show
um,,cool
olympics,cool
game,cool
festival,cool
uh,,cool
special,cool
show,cool
cool,yeah
yeah,i'd
yeah,love
yeah,hear
yeah,one
yeah,trip
i'd,meet
i'd,new
i'd,people,
i'd,yeah,
i'd,one
love,meet
love,new
love,people,
love,yeah,
love,one
hear,meet
hear,new
hear,people,
hear,yeah,
hear,one
one,meet
one,new
one,people,
one,yeah,
one,one
trip,meet
trip,new
trip,people,
trip,yeah,
trip,one
meet,whatever
meet,come
meet,mind
new,whatever
new,come
new,mind
people,,whatever
people,,come
people,,mind
yeah,,whatever
yeah,,come
yeah,,mind
one,whatever
one,come
one,mind
whatever,mm
whatever,canada
come,mm
come,canada
mind,mm
mind,canada
mm,tell
canada,tell
tell,uh
tell,nice,
tell,uh
tell,refreshing
tell,mm
tell,clean
tell,environment,
tell,uh
tell,people
tell,seemed
tell,lighthearted,
tell,able
tell,serious
tell,work
uh,mhm
nice,,mhm
uh,mhm
refreshing,mhm
mm,mhm
clean,mhm
environment,,mhm
