today,fine
fine,originally
originally,tampa
originally,florida
tampa,why'd
tampa,move
tampa,la
florida,why'd
florida,move
florida,la
why'd,uh
why'd,point
why'd,wanted
why'd,get
why'd,entertainment
why'd,industry
move,uh
move,point
move,wanted
move,get
move,entertainment
move,industry
la,uh
la,point
la,wanted
la,get
la,entertainment
la,industry
uh,when'd
uh,move
uh,la
point,when'd
point,move
point,la
wanted,when'd
wanted,move
wanted,la
get,when'd
get,move
get,la
entertainment,when'd
entertainment,move
entertainment,la
industry,when'd
industry,move
industry,la
when'd,um
when'd,nineteen
when'd,ninety
move,um
move,nineteen
move,ninety
la,um
la,nineteen
la,ninety
um,easy
um,get
um,used
um,living
um,la
nineteen,easy
nineteen,get
nineteen,used
nineteen,living
nineteen,la
ninety,easy
ninety,get
ninety,used
ninety,living
ninety,la
easy,took
easy,long
easy,time
easy,get
easy,used
easy,easy
get,took
get,long
get,time
get,get
get,used
get,easy
used,took
used,long
used,time
used,get
used,used
used,easy
living,took
living,long
living,time
living,get
living,used
living,easy
la,took
la,long
la,time
la,get
la,used
la,easy
took,thing
took,really
took,like
took,la
long,thing
long,really
long,like
long,la
time,thing
time,really
time,like
time,la
get,thing
get,really
get,like
get,la
used,thing
used,really
used,like
used,la
easy,thing
easy,really
easy,like
easy,la
thing,well
thing,weather
thing,hobby
thing,could
thing,always
thing,find
thing,large
thing,group
thing,people
thing,interested
thing,hobby
really,well
really,weather
really,hobby
really,could
really,always
really,find
really,large
really,group
really,people
really,interested
really,hobby
like,well
like,weather
like,hobby
like,could
like,always
like,find
like,large
like,group
like,people
like,interested
like,hobby
la,well
la,weather
la,hobby
la,could
la,always
la,find
la,large
la,group
la,people
la,interested
la,hobby
well,thing
well,really
well,like
well,la
weather,thing
weather,really
weather,like
weather,la
hobby,thing
hobby,really
hobby,like
hobby,la
could,thing
could,really
could,like
could,la
always,thing
always,really
always,like
always,la
find,thing
find,really
find,like
find,la
large,thing
large,really
large,like
large,la
group,thing
group,really
group,like
group,la
people,thing
people,really
people,like
people,la
interested,thing
interested,really
interested,like
interested,la
hobby,thing
hobby,really
hobby,like
hobby,la
thing,oh
thing,people
thing,business
thing,world
thing,know
thing,pretty
thing,transient
thing,come
thing,go
thing,kinda
thing,difficult
thing,far
thing,know
thing,trusting
thing,people
thing,business
thing,world
thing,difficult
really,oh
really,people
really,business
really,world
really,know
really,pretty
really,transient
really,come
really,go
really,kinda
really,difficult
really,far
really,know
really,trusting
really,people
really,business
really,world
really,difficult
like,oh
like,people
like,business
like,world
like,know
like,pretty
like,transient
like,come
like,go
like,kinda
like,difficult
like,far
like,know
like,trusting
like,people
like,business
like,world
like,difficult
la,oh
la,people
la,business
la,world
la,know
la,pretty
la,transient
la,come
la,go
la,kinda
la,difficult
la,far
la,know
la,trusting
la,people
la,business
la,world
la,difficult
oh,often
oh,go
oh,back
oh,home
oh,town
people,often
people,go
people,back
people,home
people,town
business,often
business,go
business,back
business,home
business,town
world,often
world,go
world,back
world,home
world,town
know,often
know,go
know,back
know,home
know,town
pretty,often
pretty,go
pretty,back
pretty,home
pretty,town
transient,often
transient,go
transient,back
transient,home
transient,town
come,often
come,go
come,back
come,home
come,town
go,often
go,go
go,back
go,home
go,town
kinda,often
kinda,go
kinda,back
kinda,home
kinda,town
difficult,often
difficult,go
difficult,back
difficult,home
difficult,town
far,often
far,go
far,back
far,home
far,town
know,often
know,go
know,back
know,home
know,town
trusting,often
trusting,go
trusting,back
trusting,home
trusting,town
people,often
people,go
people,back
people,home
people,town
business,often
business,go
business,back
business,home
business,town
world,often
world,go
world,back
world,home
world,town
difficult,often
difficult,go
difficult,back
difficult,home
difficult,town
often,much
go,much
back,much
home,much
town,much
much,compare
much,la
compare,um
compare,quite
compare,different,
compare,uh
compare,weather's
compare,different
compare,people
compare,different
compare,different
la,um
la,quite
la,different,
la,uh
la,weather's
la,different
la,people
la,different
la,different
um,travel
um,lot
quite,travel
quite,lot
different,,travel
different,,lot
uh,travel
uh,lot
weather's,travel
weather's,lot
different,travel
different,lot
people,travel
people,lot
different,travel
different,lot
different,travel
different,lot
what'd,um,
what'd,god
what'd,long
what'd,ago
what'd,uh
what'd,school,
what'd,uh
what'd,general
what'd,stuff
what'd,business
what'd,uh,
what'd,acting,
what'd,kinda
what'd,thing
study,um,
study,god
study,long
study,ago
study,uh
study,school,
study,uh
study,general
study,stuff
study,business
study,uh,
study,acting,
study,kinda
study,thing
school,um,
school,god
school,long
school,ago
school,uh
school,school,
school,uh
school,general
school,stuff
school,business
school,uh,
school,acting,
