today,well
well,originally
originally,uh
originally,ohio
uh,really
ohio,really
really,mhm
mhm,move
mhm,la
move,uh
move,finished
move,school
move,came
move,start
move,life
la,uh
la,finished
la,school
la,came
la,start
la,life
uh,often
uh,go
uh,back
uh,hometown
finished,often
finished,go
finished,back
finished,hometown
school,often
school,go
school,back
school,hometown
came,often
came,go
came,back
came,hometown
start,often
start,go
start,back
start,hometown
life,often
life,go
life,back
life,hometown
often,uh
often,often
often,now,
often,really
often,often
go,uh
go,often
go,now,
go,really
go,often
back,uh
back,often
back,now,
back,really
back,often
hometown,uh
hometown,often
hometown,now,
hometown,really
hometown,often
uh,compare
uh,la
parent,compare
parent,la
passed,compare
passed,la
away,compare
away,la
that's,compare
that's,la
reason,compare
reason,la
reason,compare
reason,la
going,compare
going,la
home,,compare
home,,la
prior,compare
prior,la
compare,uh
compare,there's
compare,really
compare,comparison,
compare,know
compare,warm
compare,and,
compare,sunny,
compare,four
compare,season
compare,different
compare,environment
la,uh
la,there's
la,really
la,comparison,
la,know
la,warm
la,and,
la,sunny,
la,four
la,season
la,different
la,environment
uh,easy
uh,get
uh,used
uh,living
uh,la
there's,easy
there's,get
there's,used
there's,living
there's,la
really,easy
really,get
really,used
really,living
really,la
comparison,,easy
comparison,,get
comparison,,used
comparison,,living
comparison,,la
know,easy
know,get
know,used
know,living
know,la
warm,easy
warm,get
warm,used
warm,living
warm,la
and,,easy
and,,get
and,,used
and,,living
and,,la
sunny,,easy
sunny,,get
sunny,,used
sunny,,living
sunny,,la
four,easy
four,get
four,used
four,living
four,la
season,easy
season,get
season,used
season,living
season,la
different,easy
different,get
different,used
different,living
different,la
environment,easy
environment,get
environment,used
environment,living
environment,la
easy,took
easy,minute,
easy,get
easy,adjusted
easy,different
easy,culture,
easy,uh
easy,adjusted
easy,know
easy,sunshine
easy,keep
get,took
get,minute,
get,get
get,adjusted
get,different
get,culture,
get,uh
get,adjusted
get,know
get,sunshine
get,keep
used,took
used,minute,
used,get
used,adjusted
used,different
used,culture,
used,uh
used,adjusted
used,know
used,sunshine
used,keep
living,took
living,minute,
living,get
living,adjusted
living,different
living,culture,
living,uh
living,adjusted
living,know
living,sunshine
living,keep
la,took
la,minute,
la,get
la,adjusted
la,different
la,culture,
la,uh
la,adjusted
la,know
la,sunshine
la,keep
took,thing
took,really
took,like
took,la
minute,,thing
minute,,really
minute,,like
minute,,la
get,thing
get,really
get,like
get,la
adjusted,thing
adjusted,really
adjusted,like
adjusted,la
different,thing
different,really
different,like
different,la
culture,,thing
culture,,really
culture,,like
culture,,la
uh,thing
uh,really
uh,like
uh,la
adjusted,thing
adjusted,really
adjusted,like
adjusted,la
know,thing
know,really
know,like
know,la
sunshine,thing
sunshine,really
sunshine,like
sunshine,la
keep,thing
keep,really
keep,like
keep,la
thing,uh
thing,love
thing,weather,
thing,love
thing,fact
thing,ocean
thing,mountains,
thing,um
thing,many
thing,thing
thing,choose
thing,diversity
thing,find
really,uh
really,love
really,weather,
really,love
really,fact
really,ocean
really,mountains,
really,um
really,many
really,thing
really,choose
really,diversity
really,find
like,uh
like,love
like,weather,
like,love
like,fact
like,ocean
like,mountains,
like,um
like,many
like,thing
like,choose
like,diversity
like,find
la,uh
la,love
la,weather,
la,love
la,fact
la,ocean
la,mountains,
la,um
la,many
la,thing
la,choose
la,diversity
la,find
uh,thing
uh,really
uh,like
uh,la
love,thing
love,really
love,like
love,la
weather,,thing
weather,,really
weather,,like
weather,,la
love,thing
love,really
love,like
love,la
fact,thing
fact,really
fact,like
fact,la
ocean,thing
ocean,really
ocean,like
ocean,la
mountains,,thing
mountains,,really
mountains,,like
mountains,,la
um,thing
um,really
um,like
um,la
many,thing
many,really
many,like
many,la
thing,thing
thing,really
thing,like
thing,la
choose,thing
choose,really
choose,like
choose,la
diversity,thing
diversity,really
diversity,like
diversity,la
find,thing
find,really
find,like
find,la
thing,uh
thing,i,
thing,tend
thing,thing
