today,okay
okay,originally
originally,santa
originally,monica
santa,thing
santa,really
santa,like
santa,la
monica,thing
monica,really
monica,like
monica,la
thing,uh
thing,people,
thing,mostly
really,uh
really,people,
really,mostly
like,uh
like,people,
like,mostly
la,uh
la,people,
la,mostly
uh,thing
uh,really
uh,like
uh,la
people,,thing
people,,really
people,,like
people,,la
mostly,thing
mostly,really
mostly,like
mostly,la
thing,*sigh*
thing,well
thing,people
thing,also
thing,*laughter*
really,*sigh*
really,well
really,people
really,also
really,*laughter*
like,*sigh*
like,well
like,people
like,also
like,*laughter*
la,*sigh*
la,well
la,people
la,also
la,*laughter*
*sigh*,see
*sigh*,mean
well,see
well,mean
people,see
people,mean
also,see
also,mean
*laughter*,see
*laughter*,mean
see,*laughter*
mean,*laughter*
*laughter*,i'm
*laughter*,sure
*laughter*,tell
*laughter*,shoe
*laughter*,i'm
*laughter*,much
*laughter*,world
*laughter*,explorer
*laughter*,travel
*laughter*,lot
i'm,uh
i'm,lot
sure,uh
sure,lot
tell,uh
tell,lot
shoe,uh
shoe,lot
i'm,uh
i'm,lot
much,uh
much,lot
world,uh
world,lot
explorer,uh
explorer,lot
travel,uh
travel,lot
lot,uh
lot,lot
well,study
well,school
can't,study
can't,school
afford,study
afford,school
travel,study
travel,school
much,study
much,school
i'd,study
i'd,school
like,study
like,school
study,mm
study,english
study,major
school,mm
school,english
school,major
mm,decide
english,decide
major,decide
decide,uh
decide,liked
decide,reading
decide,lot
decide,time
decide,so,
decide,sounded
decide,like
decide,best
decide,thing
decide,well
decide,fun
decide,thing
decide,study
uh,still
liked,still
reading,still
lot,still
time,still
so,,still
sounded,still
like,still
best,still
thing,still
well,still
fun,still
thing,still
study,still
still,anymore
anymore,love
anymore,job
anymore,could
anymore,almost
anymore,say
anymore,virtually
anymore,made
anymore,what's
anymore,dream
anymore,job
love,oh
love,guess
love,dream
love,job
love,would
love,to,
love,manage
love,uh
love,soccer
love,club
job,oh
job,guess
job,dream
job,job
job,would
job,to,
job,manage
job,uh
job,soccer
job,club
could,oh
could,guess
could,dream
could,job
could,would
could,to,
could,manage
could,uh
could,soccer
could,club
almost,oh
almost,guess
almost,dream
almost,job
almost,would
almost,to,
almost,manage
almost,uh
almost,soccer
almost,club
say,oh
say,guess
say,dream
say,job
say,would
say,to,
say,manage
say,uh
say,soccer
say,club
virtually,oh
virtually,guess
virtually,dream
virtually,job
virtually,would
virtually,to,
virtually,manage
virtually,uh
virtually,soccer
virtually,club
made,oh
made,guess
made,dream
made,job
made,would
made,to,
made,manage
made,uh
made,soccer
made,club
what's,oh
what's,guess
what's,dream
what's,job
what's,would
what's,to,
what's,manage
what's,uh
what's,soccer
what's,club
dream,oh
dream,guess
dream,dream
dream,job
dream,would
dream,to,
dream,manage
dream,uh
dream,soccer
dream,club
job,oh
job,guess
job,dream
job,job
job,would
job,to,
job,manage
job,uh
job,soccer
job,club
oh,hard
guess,hard
dream,hard
job,hard
would,hard
to,,hard
manage,hard
uh,hard
soccer,hard
club,hard
hard,oh
hard,it'd
hard,pretty
hard,much
hard,impossible
um,consider
um,shy
um,outgoing
experience,consider
experience,shy
experience,outgoing
*laughter*,consider
*laughter*,shy
*laughter*,outgoing
field,consider
field,shy
field,outgoing
consider,i'm
consider,shy
shy,i'm
shy,shy
outgoing,i'm
outgoing,shy
i'm,sometimes
i'm,i'm
i'm,feeling
i'm,tense
i'm,turn
i'm,fish
i'm,tank
i'm,screensaver
i'm,hey
i'm,know
i'm,hawaii
i'm,best
i'm,i've
i'm,got
i'm,relax
shy,sometimes
shy,i'm
shy,feeling
shy,tense
shy,turn
shy,fish
shy,tank
shy,screensaver
shy,hey
shy,know
shy,hawaii
shy,best
shy,i've
shy,got
shy,relax
sometimes,play
sometimes,music
i'm,play
i'm,music
feeling,play
feeling,music
tense,play
tense,music
turn,play
turn,music
fish,play
fish,music
tank,play
tank,music
screensaver,play
screensaver,music
hey,play
hey,music
know,play
know,music
hawaii,play
hawaii,music
best,play
best,music
i've,play
i've,music
got,play
got,music
relax,play
relax,music
play,annoyed
music,annoyed
annoyed,*sigh*
annoyed,i'm
annoyed,annoyed,
annoyed,know,
annoyed,um,
annoyed,i'm
annoyed,annoyed,
annoyed,can't
annoyed,think
annoyed,anything
annoyed,know,
annoyed,think
annoyed,yeah
annoyed,anything
annoyed,specifically
*sigh*,controlling
*sigh*,temper
i'm,controlling
i'm,temper
annoyed,,controlling
annoyed,,temper
know,,controlling
know,,temper
um,,controlling
um,,temper
i'm,controlling
i'm,temper
annoyed,,controlling
annoyed,,temper
can't,controlling
can't,temper
think,controlling
think,temper
anything,controlling
anything,temper
know,,controlling
know,,temper
think,controlling
think,temper
yeah,controlling
yeah,temper
anything,controlling
anything,temper
specifically,controlling
specifically,temper
controlling,uh
controlling,pretty
controlling,good
controlling,would
controlling,say
controlling,good
controlling,lose
controlling,temper
controlling,often
temper,uh
temper,pretty
temper,good
temper,would
temper,say
temper,good
temper,lose
temper,temper
temper,often
uh,last
uh,time
uh,argued
uh,someone
pretty,last
pretty,time
