today,fine
fine,originally
originally,oh
originally,san
originally,fernando
originally,valley
oh,thing
oh,really
oh,like
oh,la
san,thing
san,really
san,like
san,la
fernando,thing
fernando,really
fernando,like
fernando,la
valley,thing
valley,really
valley,like
valley,la
thing,uh
thing,well
thing,really
thing,like
thing,culture
thing,love
thing,going
thing,museum
thing,able
thing,go
thing,night
thing,lot
thing,people
thing,around
really,uh
really,well
really,really
really,like
really,culture
really,love
really,going
really,museum
really,able
really,go
really,night
really,lot
really,people
really,around
like,uh
like,well
like,really
like,like
like,culture
like,love
like,going
like,museum
like,able
like,go
like,night
like,lot
like,people
like,around
la,uh
la,well
la,really
la,like
la,culture
la,love
la,going
la,museum
la,able
la,go
la,night
la,lot
la,people
la,around
uh,thing
uh,really
uh,like
uh,la
well,thing
well,really
well,like
well,la
really,thing
really,really
really,like
really,la
like,thing
like,really
like,like
like,la
culture,thing
culture,really
culture,like
culture,la
love,thing
love,really
love,like
love,la
going,thing
going,really
going,like
going,la
museum,thing
museum,really
museum,like
museum,la
able,thing
able,really
able,like
able,la
go,thing
go,really
go,like
go,la
night,thing
night,really
night,like
night,la
lot,thing
lot,really
lot,like
lot,la
people,thing
people,really
people,like
people,la
around,thing
around,really
around,like
around,la
thing,spread
thing,lot
thing,pain
thing,as
thing,drive
thing,everywhere
thing,good
thing,public
thing,transportation
thing,system
really,spread
really,lot
really,pain
really,as
really,drive
really,everywhere
really,good
really,public
really,transportation
really,system
like,spread
like,lot
like,pain
like,as
like,drive
like,everywhere
like,good
like,public
like,transportation
like,system
la,spread
la,lot
la,pain
la,as
la,drive
la,everywhere
la,good
la,public
la,transportation
la,system
spread,i'm
spread,sure
spread,tell
spread,shoe
spread,i'm
spread,much
spread,world
spread,explorer
spread,travel
spread,lot
lot,i'm
lot,sure
lot,tell
lot,shoe
lot,i'm
lot,much
lot,world
lot,explorer
lot,travel
lot,lot
pain,i'm
pain,sure
pain,tell
pain,shoe
pain,i'm
pain,much
pain,world
pain,explorer
pain,travel
pain,lot
as,i'm
as,sure
as,tell
as,shoe
as,i'm
as,much
as,world
as,explorer
as,travel
as,lot
drive,i'm
drive,sure
drive,tell
drive,shoe
drive,i'm
drive,much
drive,world
drive,explorer
drive,travel
drive,lot
everywhere,i'm
everywhere,sure
everywhere,tell
everywhere,shoe
everywhere,i'm
everywhere,much
everywhere,world
everywhere,explorer
everywhere,travel
everywhere,lot
good,i'm
good,sure
good,tell
good,shoe
good,i'm
good,much
good,world
good,explorer
good,travel
good,lot
public,i'm
public,sure
public,tell
public,shoe
public,i'm
public,much
public,world
public,explorer
public,travel
public,lot
transportation,i'm
transportation,sure
transportation,tell
transportation,shoe
transportation,i'm
transportation,much
transportation,world
transportation,explorer
transportation,travel
transportation,lot
system,i'm
system,sure
system,tell
system,shoe
system,i'm
system,much
system,world
system,explorer
system,travel
system,lot
i'm,uh
i'm,really
i'm,like
i'm,go
i'm,camping
i'm,really
i'm,travel
sure,uh
sure,really
sure,like
sure,go
sure,camping
sure,really
sure,travel
tell,uh
tell,really
tell,like
tell,go
tell,camping
tell,really
tell,travel
shoe,uh
shoe,really
shoe,like
shoe,go
shoe,camping
shoe,really
shoe,travel
i'm,uh
