today,fine
fine,originally
originally,uh
originally,colorado
uh,really
colorado,really
really,mhm
mhm,why'd
mhm,move
mhm,la
why'd,uh
why'd,career,
why'd,career
why'd,possibility
move,uh
move,career,
move,career
move,possibility
la,uh
la,career,
la,career
la,possibility
uh,move
uh,la
paralegal,move
paralegal,la
move,uh
move,education
move,weather,
move,friend
la,uh
la,education
la,weather,
la,friend
uh,often
uh,go
uh,back
uh,home
uh,town
education,often
education,go
education,back
education,home
education,town
weather,,often
weather,,go
weather,,back
weather,,home
weather,,town
friend,often
friend,go
friend,back
friend,home
friend,town
often,often
often,now,
often,every
often,year
go,often
go,now,
go,every
go,year
back,often
back,now,
back,every
back,year
home,often
home,now,
home,every
home,year
town,often
town,now,
town,every
town,year
often,thing
often,really
often,like
often,la
now,,thing
now,,really
now,,like
now,,la
every,thing
every,really
every,like
every,la
year,thing
year,really
year,like
year,la
thing,oh
thing,weather
thing,uh
thing,beach
thing,sunset
thing,beach,
thing,uh
thing,thought
thing,uh
thing,career
thing,possibilities,
thing,um,
thing,educated
thing,group
thing,people
thing,sophisticated
thing,market
really,oh
really,weather
really,uh
really,beach
really,sunset
really,beach,
really,uh
really,thought
really,uh
really,career
really,possibilities,
really,um,
really,educated
really,group
really,people
really,sophisticated
really,market
like,oh
like,weather
like,uh
like,beach
like,sunset
like,beach,
like,uh
like,thought
like,uh
like,career
like,possibilities,
like,um,
like,educated
like,group
like,people
like,sophisticated
like,market
la,oh
la,weather
la,uh
la,beach
la,sunset
la,beach,
la,uh
la,thought
la,uh
la,career
la,possibilities,
la,um,
la,educated
la,group
la,people
la,sophisticated
la,market
oh,easy
oh,get
oh,used
oh,living
oh,la
weather,easy
weather,get
weather,used
weather,living
weather,la
uh,easy
uh,get
uh,used
uh,living
uh,la
beach,easy
beach,get
beach,used
beach,living
beach,la
sunset,easy
sunset,get
sunset,used
sunset,living
sunset,la
beach,,easy
beach,,get
beach,,used
beach,,living
beach,,la
uh,easy
uh,get
uh,used
uh,living
uh,la
thought,easy
thought,get
thought,used
thought,living
thought,la
uh,easy
uh,get
uh,used
uh,living
uh,la
career,easy
career,get
career,used
career,living
career,la
possibilities,,easy
possibilities,,get
possibilities,,used
possibilities,,living
possibilities,,la
um,,easy
um,,get
um,,used
um,,living
um,,la
educated,easy
educated,get
educated,used
educated,living
educated,la
group,easy
group,get
group,used
group,living
group,la
people,easy
people,get
people,used
people,living
people,la
sophisticated,easy
sophisticated,get
sophisticated,used
sophisticated,living
sophisticated,la
market,easy
market,get
market,used
market,living
market,la
easy,adjustment
easy,uh
easy,come
easy,lot
easy,people
easy,misjudge
easy,little
easy,bit
easy,laid
easy,back
easy,appearing
easy,town
easy,actually
easy,um
easy,uh
easy,sensitive
easy,know,
easy,uh
easy,success
easy,commericalization
easy,kind
easy,thing,
easy,keep
easy,pace
get,adjustment
get,uh
get,come
get,lot
get,people
get,misjudge
get,little
get,bit
get,laid
get,back
get,appearing
get,town
get,actually
get,um
get,uh
get,sensitive
get,know,
get,uh
get,success
get,commericalization
get,kind
get,thing,
get,keep
get,pace
used,adjustment
used,uh
used,come
used,lot
used,people
used,misjudge
used,little
used,bit
used,laid
used,back
used,appearing
used,town
used,actually
used,um
used,uh
used,sensitive
used,know,
used,uh
used,success
used,commericalization
used,kind
used,thing,
used,keep
used,pace
living,adjustment
living,uh
living,come
living,lot
living,people
living,misjudge
living,little
living,bit
living,laid
living,back
living,appearing
living,town
living,actually
living,um
living,uh
living,sensitive
living,know,
living,uh
living,success
living,commericalization
living,kind
living,thing,
living,keep
living,pace
la,adjustment
la,uh
la,come
la,lot
la,people
la,misjudge
la,little
la,bit
la,laid
la,back
la,appearing
la,town
la,actually
la,um
la,uh
la,sensitive
la,know,
la,uh
la,success
la,commericalization
la,kind
la,thing,
la,keep
la,pace
adjustment,hard
uh,hard
come,hard
lot,hard
people,hard
misjudge,hard
little,hard
bit,hard
laid,hard
back,hard
appearing,hard
town,hard
actually,hard
um,hard
uh,hard
sensitive,hard
know,,hard
uh,hard
success,hard
commericalization,hard
kind,hard
thing,,hard
keep,hard
pace,hard
hard,uh
hard,little
hard,bit
hard,harder
hard,think
hard,first
hard,make
hard,adjustment,
hard,pretty
hard,soon
hard,becomes
hard,obvious
hard,another
hard,market
