today,okay
okay,originally
originally,um
originally,santiago
originally,chile
um,move
um,la
santiago,move
santiago,la
chile,move
chile,la
move,mm
move,permanently
move,nineteen
move,seventy
move,seven
la,mm
la,permanently
la,nineteen
la,seventy
la,seven
mm,often
mm,go
mm,back
mm,hometown
permanently,often
permanently,go
permanently,back
permanently,hometown
nineteen,often
nineteen,go
nineteen,back
nineteen,hometown
seventy,often
seventy,go
seventy,back
seventy,hometown
seven,often
seven,go
seven,back
seven,hometown
often,mm,
often,every
often,three
often,four
often,year
go,mm,
go,every
go,three
go,four
go,year
back,mm,
back,every
back,three
back,four
back,year
hometown,mm,
hometown,every
hometown,three
hometown,four
hometown,year
mm,,compare
mm,,la
every,compare
every,la
three,compare
three,la
four,compare
four,la
year,compare
year,la
compare,similar
la,similar
similar,move
similar,la
move,uh
move,parent
move,moved
la,uh
la,parent
la,moved
uh,easy
uh,get
uh,used
uh,living
uh,la
parent,easy
parent,get
parent,used
parent,living
parent,la
moved,easy
moved,get
moved,used
moved,living
moved,la
easy,easy
get,easy
used,easy
living,easy
la,easy
easy,thing
easy,really
easy,like
easy,la
thing,mm,
thing,variety,
thing,culture,
thing,um,
thing,uh
thing,thing
thing,there's
thing,many
thing,thing
really,mm,
really,variety,
really,culture,
really,um,
really,uh
really,thing
really,there's
really,many
really,thing
like,mm,
like,variety,
like,culture,
like,um,
like,uh
like,thing
like,there's
like,many
like,thing
la,mm,
la,variety,
la,culture,
la,um,
la,uh
la,thing
la,there's
la,many
la,thing
mm,,mhm
variety,,mhm
culture,,mhm
um,,mhm
uh,mhm
thing,mhm
there's,mhm
many,mhm
thing,mhm
mhm,many
mhm,option
many,thing
many,really
many,like
many,la
option,thing
option,really
option,like
option,la
thing,traffic,
thing,um
thing,pressure,
thing,live
thing,standard
thing,high
thing,standard
really,traffic,
really,um
really,pressure,
really,live
really,standard
really,high
really,standard
like,traffic,
like,um
like,pressure,
like,live
like,standard
like,high
like,standard
la,traffic,
la,um
la,pressure,
la,live
la,standard
la,high
