today,good
good,originally
originally,california
california,thing
california,really
california,like
california,la
thing,like
thing,eh
thing,art
thing,entertainment
thing,like,
thing,uh,
thing,lot
thing,freedom
thing,work
thing,lot
thing,different
thing,field
thing,um,
thing,like
thing,fact
thing,weather
thing,great
thing,um
thing,like
thing,fact
thing,root
thing,family
really,like
really,eh
really,art
really,entertainment
really,like,
really,uh,
really,lot
really,freedom
really,work
really,lot
really,different
really,field
really,um,
really,like
really,fact
really,weather
really,great
really,um
really,like
really,fact
really,root
really,family
like,like
like,eh
like,art
like,entertainment
like,like,
like,uh,
like,lot
like,freedom
like,work
like,lot
like,different
like,field
like,um,
like,like
like,fact
like,weather
like,great
like,um
like,like
like,fact
like,root
like,family
la,like
la,eh
la,art
la,entertainment
la,like,
la,uh,
la,lot
la,freedom
la,work
la,lot
la,different
la,field
la,um,
la,like
la,fact
la,weather
la,great
la,um
la,like
la,fact
la,root
la,family
like,thing
like,really
like,like
like,la
eh,thing
eh,really
eh,like
eh,la
art,thing
art,really
art,like
art,la
entertainment,thing
entertainment,really
entertainment,like
entertainment,la
like,,thing
like,,really
like,,like
like,,la
uh,,thing
uh,,really
uh,,like
uh,,la
lot,thing
lot,really
lot,like
lot,la
freedom,thing
freedom,really
freedom,like
freedom,la
work,thing
work,really
work,like
work,la
lot,thing
lot,really
lot,like
lot,la
different,thing
different,really
different,like
different,la
field,thing
field,really
field,like
field,la
um,,thing
um,,really
um,,like
um,,la
like,thing
like,really
like,like
like,la
fact,thing
fact,really
fact,like
fact,la
weather,thing
weather,really
weather,like
weather,la
great,thing
great,really
great,like
great,la
um,thing
um,really
um,like
um,la
like,thing
like,really
like,like
like,la
fact,thing
fact,really
fact,like
fact,la
root,thing
root,really
root,like
root,la
family,thing
family,really
family,like
family,la
thing,like,
thing,hard
thing,get
thing,place
thing,anymore
thing,hard
thing,there's
thing,much
thing,traffic
thing,take
thing,long
thing,time
thing,get
thing,going
thing,um
thing,expensive
thing,lot
thing,expensive
thing,used
really,like,
really,hard
really,get
really,place
really,anymore
really,hard
really,there's
really,much
really,traffic
really,take
really,long
really,time
really,get
really,going
really,um
really,expensive
really,lot
really,expensive
really,used
like,like,
like,hard
like,get
like,place
like,anymore
like,hard
like,there's
like,much
like,traffic
like,take
like,long
like,time
like,get
like,going
like,um
like,expensive
like,lot
like,expensive
like,used
la,like,
la,hard
la,get
la,place
la,anymore
la,hard
la,there's
la,much
la,traffic
la,take
la,long
la,time
la,get
la,going
la,um
la,expensive
la,lot
la,expensive
la,used
like,,travel
like,,lot
hard,travel
hard,lot
get,travel
get,lot
place,travel
place,lot
anymore,travel
anymore,lot
hard,travel
hard,lot
there's,travel
there's,lot
much,travel
much,lot
traffic,travel
traffic,lot
take,travel
take,lot
long,travel
long,lot
time,travel
time,lot
get,travel
get,lot
going,travel
going,lot
um,travel
um,lot
expensive,travel
expensive,lot
lot,travel
lot,lot
expensive,travel
expensive,lot
used,travel
used,lot
travel,anymore
lot,anymore
anymore,what'd
anymore,study
anymore,school
what'd,studied
what'd,journalism
what'd,english
what'd,music
what'd,special
what'd,effect
what'd,makeup
study,studied
study,journalism
study,english
study,music
study,special
study,effect
study,makeup
school,studied
school,journalism
school,english
school,music
school,special
school,effect
school,makeup
studied,still
studied,working
journalism,still
journalism,working
english,still
english,working
music,still
music,working
special,still
special,working
effect,still
effect,working
makeup,still
makeup,working
managing,what's
managing,dream
managing,job
doggy,what's
doggy,dream
doggy,job
day,what's
day,dream
day,job
care,what's
care,dream
care,job
facility,what's
facility,dream
facility,job
what's,dream
what's,job
what's,to,
what's,company
what's,um,
what's,probably
what's,working
what's,animal
dream,dream
dream,job
dream,to,
dream,company
dream,um,
dream,probably
dream,working
dream,animal
job,dream
job,job
job,to,
job,company
job,um,
job,probably
job,working
job,animal
dream,consider
dream,introvert
job,consider
job,introvert
to,,consider
to,,introvert
company,consider
company,introvert
um,,consider
um,,introvert
probably,consider
probably,introvert
working,consider
working,introvert
animal,consider
animal,introvert
relax,i'm
relax,i'm
relax,artist
relax,draw
relax,paint
relax,tattoos,
relax,work
relax,lot
relax,animals,
relax,like
relax,outdoor
relax,activity
relax,biking
relax,hiking
i'm,thing
i'm,make
i'm,really
i'm,mad
i'm,thing
i'm,make
i'm,really
i'm,mad
artist,thing
artist,make
artist,really
artist,mad
draw,thing
draw,make
draw,really
draw,mad
paint,thing
paint,make
paint,really
paint,mad
tattoos,,thing
tattoos,,make
tattoos,,really
tattoos,,mad
work,thing
work,make
work,really
work,mad
lot,thing
lot,make
lot,really
lot,mad
animals,,thing
animals,,make
animals,,really
animals,,mad
like,thing
like,make
like,really
like,mad
outdoor,thing
outdoor,make
outdoor,really
outdoor,mad
activity,thing
activity,make
activity,really
activity,mad
biking,thing
biking,make
biking,really
biking,mad
hiking,thing
hiking,make
hiking,really
hiking,mad
thing,um
thing,people
thing,fair
thing,people
thing,are,
thing,angry
thing,um
thing,people
thing,dishonest
make,um
make,people
make,fair
make,people
make,are,
make,angry
make,um
make,people
make,dishonest
really,um
really,people
really,fair
really,people
really,are,
really,angry
really,um
really,people
really,dishonest
mad,um
mad,people
mad,fair
mad,people
mad,are,
mad,angry
mad,um
mad,people
mad,dishonest
um,annoyed
people,annoyed
fair,annoyed
people,annoyed
are,,annoyed
angry,annoyed
um,annoyed
people,annoyed
dishonest,annoyed
annoyed,usually
annoyed,give
annoyed,like
annoyed,ten
annoyed,second
annoyed,timeout
annoyed,think
annoyed,speak
annoyed,react
usually,controlling
usually,temper
give,controlling
give,temper
like,controlling
like,temper
ten,controlling
ten,temper
second,controlling
second,temper
timeout,controlling
timeout,temper
think,controlling
think,temper
speak,controlling
speak,temper
react,controlling
react,temper
controlling,i'm
controlling,good
controlling,controlling
controlling,temper
temper,i'm
temper,good
temper,controlling
temper,temper
i'm,last
i'm,time
i'm,argued
i'm,someone
good,last
good,time
good,argued
good,someone
controlling,last
controlling,time
controlling,argued
controlling,someone
temper,last
temper,time
temper,argued
temper,someone
last,probably
last,spouse
last,um
last,something
last,financial
last,matter
time,probably
time,spouse
time,um
time,something
time,financial
time,matter
argued,probably
argued,spouse
argued,um
argued,something
argued,financial
argued,matter
someone,probably
someone,spouse
someone,um
someone,something
someone,financial
someone,matter
probably,close
probably,family
spouse,close
spouse,family
um,close
um,family
something,close
something,family
financial,close
financial,family
matter,close
matter,family
close,i'm
close,close
close,child
close,father
family,i'm
family,close
family,child
family,father
i'm,tell
i'm,kid
close,tell
close,kid
child,tell
child,kid
father,tell
father,kid
tell,find
tell,easy
tell,parent
kid,find
kid,easy
kid,parent
find,never
find,easy
find,hardest
find,job
find,world
find,best
easy,never
easy,easy
easy,hardest
easy,job
easy,world
easy,best
parent,never
parent,easy
parent,hardest
parent,job
parent,world
parent,best
never,what's
never,hardest
never,thing
never,parent
easy,what's
easy,hardest
easy,thing
easy,parent
hardest,what's
hardest,hardest
hardest,thing
hardest,parent
job,what's
job,hardest
job,thing
job,parent
world,what's
world,hardest
world,thing
world,parent
best,what's
best,hardest
best,thing
best,parent
what's,um,
what's,wanting
what's,prevent
what's,child
what's,making
what's,mistake
what's,realize
what's,that,
what's,learn
what's,live
what's,life
what's,um
what's,that's
what's,one
what's,hardest
what's,thing
what's,letting
what's,make
what's,mistake
hardest,um,
hardest,wanting
hardest,prevent
hardest,child
hardest,making
hardest,mistake
hardest,realize
hardest,that,
hardest,learn
hardest,live
hardest,life
hardest,um
hardest,that's
hardest,one
hardest,hardest
hardest,thing
hardest,letting
hardest,make
hardest,mistake
thing,um,
thing,wanting
thing,prevent
thing,child
thing,making
thing,mistake
thing,realize
thing,that,
thing,learn
thing,live
thing,life
thing,um
thing,that's
thing,one
thing,hardest
thing,thing
thing,letting
thing,make
thing,mistake
parent,um,
parent,wanting
parent,prevent
parent,child
parent,making
parent,mistake
parent,realize
parent,that,
parent,learn
parent,live
parent,life
parent,um
parent,that's
parent,one
parent,hardest
parent,thing
parent,letting
parent,make
parent,mistake
um,,what's
um,,best
um,,thing
um,,parent
wanting,what's
wanting,best
wanting,thing
wanting,parent
prevent,what's
prevent,best
prevent,thing
prevent,parent
child,what's
child,best
child,thing
child,parent
making,what's
making,best
making,thing
making,parent
mistake,what's
mistake,best
mistake,thing
mistake,parent
realize,what's
realize,best
realize,thing
realize,parent
that,,what's
that,,best
that,,thing
that,,parent
learn,what's
learn,best
learn,thing
learn,parent
live,what's
live,best
live,thing
live,parent
life,what's
life,best
life,thing
life,parent
um,what's
um,best
um,thing
um,parent
that's,what's
that's,best
that's,thing
that's,parent
one,what's
one,best
one,thing
one,parent
hardest,what's
hardest,best
hardest,thing
hardest,parent
thing,what's
thing,best
thing,thing
thing,parent
letting,what's
letting,best
letting,thing
letting,parent
make,what's
make,best
make,thing
make,parent
mistake,what's
mistake,best
mistake,thing
mistake,parent
what's,uh
what's,unconditional
what's,love
what's,boy
what's,the,
what's,everything
what's,parent
what's,made
what's,better
what's,person
what's,made
what's,better
what's,everything
what's,better
what's,employee
what's,um
what's,i've,
what's,think
what's,child
what's,made
what's,me,
what's,um
what's,much
what's,better
what's,person
what's,every
what's,day
best,uh
best,unconditional
best,love
best,boy
best,the,
best,everything
best,parent
best,made
best,better
best,person
best,made
best,better
best,everything
best,better
best,employee
best,um
best,i've,
best,think
best,child
best,made
best,me,
best,um
best,much
best,better
best,person
best,every
best,day
thing,uh
thing,unconditional
thing,love
thing,boy
thing,the,
thing,everything
thing,parent
thing,made
thing,better
thing,person
thing,made
thing,better
thing,everything
thing,better
thing,employee
thing,um
thing,i've,
thing,think
thing,child
thing,made
thing,me,
thing,um
thing,much
thing,better
thing,person
thing,every
thing,day
parent,uh
parent,unconditional
parent,love
parent,boy
parent,the,
parent,everything
parent,parent
parent,made
parent,better
parent,person
parent,made
parent,better
parent,everything
parent,better
parent,employee
parent,um
parent,i've,
