today,good
good,originally
originally,new
originally,york
originally,city
new,move
new,la
york,move
york,la
city,move
city,la
move,well
move,uh,
move,originally
move,born
move,uh,
move,spent
move,time
move,back
move,east
move,um
move,moved
move,back
move,um,
move,basically
move,sort
move,raised
move,so,
move,i'm
move,enjoying
la,well
la,uh,
la,originally
la,born
la,uh,
la,spent
la,time
la,back
la,east
la,um
la,moved
la,back
la,um,
la,basically
la,sort
la,raised
la,so,
la,i'm
la,enjoying
well,thing
well,really
well,like
well,la
uh,,thing
uh,,really
uh,,like
uh,,la
originally,thing
originally,really
originally,like
originally,la
born,thing
born,really
born,like
born,la
uh,,thing
uh,,really
uh,,like
uh,,la
spent,thing
spent,really
spent,like
spent,la
time,thing
time,really
time,like
time,la
back,thing
back,really
back,like
back,la
east,thing
east,really
east,like
east,la
um,thing
um,really
um,like
um,la
moved,thing
moved,really
moved,like
moved,la
back,thing
back,really
back,like
back,la
um,,thing
um,,really
um,,like
um,,la
basically,thing
basically,really
basically,like
basically,la
sort,thing
sort,really
sort,like
sort,la
raised,thing
raised,really
raised,like
raised,la
so,,thing
so,,really
so,,like
so,,la
i'm,thing
i'm,really
i'm,like
i'm,la
enjoying,thing
enjoying,really
enjoying,like
enjoying,la
thing,there's
thing,great
thing,weather
thing,um,
thing,uh
thing,amusement
thing,park
thing,lot
thing,scenery
thing,lot
thing,people,
thing,uh
thing,lot
thing,energy
thing,excitement,
thing,there's
thing,many
thing,thing
thing,really
thing,like
thing,la
really,there's
really,great
really,weather
really,um,
really,uh
really,amusement
really,park
really,lot
really,scenery
really,lot
really,people,
really,uh
really,lot
really,energy
really,excitement,
really,there's
really,many
really,thing
really,really
really,like
really,la
like,there's
like,great
like,weather
like,um,
like,uh
like,amusement
like,park
like,lot
like,scenery
like,lot
like,people,
like,uh
like,lot
like,energy
like,excitement,
like,there's
like,many
like,thing
like,really
like,like
like,la
la,there's
la,great
la,weather
la,um,
la,uh
la,amusement
la,park
la,lot
la,scenery
la,lot
la,people,
la,uh
la,lot
la,energy
la,excitement,
la,there's
la,many
la,thing
la,really
la,like
la,la
there's,thing
there's,really
there's,like
there's,la
great,thing
great,really
great,like
great,la
weather,thing
weather,really
weather,like
weather,la
um,,thing
um,,really
um,,like
um,,la
uh,thing
uh,really
uh,like
uh,la
amusement,thing
amusement,really
amusement,like
amusement,la
park,thing
park,really
park,like
park,la
lot,thing
lot,really
lot,like
lot,la
scenery,thing
scenery,really
scenery,like
scenery,la
lot,thing
lot,really
lot,like
lot,la
people,,thing
people,,really
people,,like
people,,la
uh,thing
uh,really
uh,like
uh,la
lot,thing
lot,really
lot,like
lot,la
energy,thing
energy,really
energy,like
energy,la
excitement,,thing
excitement,,really
excitement,,like
excitement,,la
there's,thing
there's,really
there's,like
there's,la
many,thing
many,really
many,like
many,la
thing,thing
thing,really
thing,like
thing,la
really,thing
really,really
really,like
really,la
like,thing
like,really
like,like
like,la
la,thing
la,really
la,like
la,la
thing,see
thing,uh
thing,lot
thing,congestion
thing,pollution
really,see
really,uh
really,lot
really,congestion
really,pollution
like,see
like,uh
like,lot
like,congestion
like,pollution
la,see
la,uh
la,lot
la,congestion
la,pollution
see,i'm
see,sure
see,tell
see,shoe
see,i'm
see,much
see,world
see,explorer
see,travel
see,lot
uh,i'm
uh,sure
uh,tell
uh,shoe
uh,i'm
uh,much
uh,world
uh,explorer
uh,travel
uh,lot
lot,i'm
lot,sure
lot,tell
lot,shoe
lot,i'm
lot,much
lot,world
lot,explorer
lot,travel
lot,lot
congestion,i'm
congestion,sure
congestion,tell
congestion,shoe
congestion,i'm
congestion,much
congestion,world
